video_id,title,language,categories,gt_usable,is_special,zero_edge_gt,gt_nodes,gt_edges,has_standard,has_parsimonious,in_paired_comparison,study_eligible,std_svc_f1,std_edge_f1,pars_svc_f1,pars_edge_f1
3WgTBTDlQN8,FanFight: Building a Realtime Fantasy League Gaming Platform on AWS,English,"data_ingestion,interactive",True,False,False,9,14,True,True,True,True,66.67,41.67,66.67,43.48
3yJZ6rPoZfg,Hexagon HxDR: Cloud-Based Visualization of Spatial Data,English,compute_intensive,True,False,False,7,9,True,True,True,True,50.0,23.53,50.0,23.53
4-teOQ_dJvY,SBB Cargo: Data Collection and Processing with Serverless Analytics Services,English,data_ingestion,True,False,False,9,13,True,True,True,True,76.92,63.64,57.14,27.27
4WjXH8Wp0E4,Kainos: Kainos Advances Patient Care with Next Generation Interoperability Platform,English,"data_ingestion,interactive",True,False,False,14,22,True,True,True,True,88.89,64.71,88.89,58.82
4zVB5RbSTCo,Electroneum: Mobile Cryptocurrency Mining!,English,data_ingestion,True,False,False,9,14,True,True,True,True,94.12,60.0,100.0,72.73
53sUjFv9ByI,Neumora Therapeutics: Enabling DNA and RNA Data Insight for Rapid Genomics Sequencing Drug Discovery,English,data_ingestion,True,False,False,6,6,True,True,True,True,72.73,72.73,76.92,66.67
5CwIt-Alqhg,Accenture: Building a Blockchain Circular Supply Chain,English,data_ingestion,True,False,False,11,12,True,True,True,True,90.91,81.82,90.91,81.82
5EmA67lSJEs,Extreme Reach: The AdBridge Platform on AWS Handles 80%+ of all Commercials in the US,English,"compute_intensive,interactive",True,False,False,11,20,True,True,True,True,87.5,38.71,87.5,50.0
5QbKp0LQaZo,GumGum Verity: Low Latency Contextual Analysis and Data Privacy at Scale on AWS Outposts,English,compute_intensive,True,False,False,10,16,True,True,True,True,94.12,38.46,87.5,30.77
5f3z1Z_9BJA,Capgemini: Refactoring a Data Warehouse to Amazon Redshift,English,data_ingestion,True,False,False,11,17,True,True,True,True,85.71,71.43,85.71,80.0
5vR5aN_xdI0,Splunk: Data at Scale by Decoupling Compute and Storage LIVE,English,data_ingestion,True,False,False,9,10,True,True,True,True,92.31,58.82,92.31,28.57
62E9ggjGS8I,DISH Network: Building a Self-Service Portal to Create Multiple Accounts at Scale,English,other,False,False,False,7,9,True,True,True,False,100.0,61.54,83.33,30.77
66fPHLmvikk,ContentWise: How we Use Amazon SageMaker in Production Italian,Italian,control,True,False,False,7,8,True,True,True,True,83.33,55.56,83.33,60.0
66h7DrOEF5k,ABEJA: Building a Machine Learning Platform that Fully Utilizes Container Technologies Japanese,Japanese,compute_intensive,True,False,False,9,9,True,True,True,True,100.0,94.74,94.12,90.0
6CgqEzyWpeA,SundaySky: Create Personalized Videos in Real Time on GPU-based Spot Instances for Video Rendering,English,"compute_intensive,interactive",True,False,False,12,19,True,True,True,True,88.89,52.94,88.89,57.14
6EUknQqaV1w,CloudHealth by VMware: Secure State. Manages Over 50M Assets from Billions of Events on AWS,English,data_ingestion,True,False,False,9,11,True,True,True,True,92.31,60.0,92.31,81.82
6LcSv9XocTY,Intuit: Serving 7 Million Customers Using Amazon Connect,English,"data_ingestion,interactive",True,False,False,11,18,True,True,True,True,87.5,53.85,82.35,46.15
6YkguepAQuQ,Aetion: Deploy Applications  Provision Cloud Resources with AWS Developer Tools,English,control,True,False,False,10,10,True,True,True,True,100.0,57.14,100.0,42.86
6iK4WNj6QqI,Ticketmaster: Active-Active Multi-Region Checkout for Ticket Purchases,English,interactive,True,False,False,6,10,True,True,True,True,76.92,35.29,92.31,33.33
6sY0AunanlM,"NGINX: Deploy and Scale Applications with Ease Using AWS EKS, ECS and the NGINX Ingress Controller",English,control,False,False,True,4,0,True,True,True,False,80.0,0.0,80.0,0.0
6sew_hdI6cY,Triboo: Hosting Magento on Containers Italian,Italian,other,True,False,False,15,18,True,True,True,True,96.0,71.43,96.0,71.43
7LziNjUTo7w,IHS Markit: Virtual Instructor-Led Trainings with IHS Markit (now part of S&P Global),English,interactive,True,False,False,9,16,True,True,True,True,94.12,69.23,94.12,56.0
7V8wTCkjOqo,NAB: Automating Cloud Governance at the National Australia Bank,English,other,True,False,False,7,7,True,True,True,True,83.33,26.67,76.92,20.0
7dtomip_VXc,Akatsuki: Building Stable and Scalable Large Scale Game Servers with Amazon ECS (Japanese),Japanese,interactive,True,False,False,8,11,True,True,True,True,100.0,73.68,100.0,70.59
7wBOFcP1HwA,Seera Group: Transforming Online Travel Booking with Microservices (Arabic),Arabic,interactive,True,False,False,10,10,True,True,True,True,84.21,63.16,73.68,40.0
8TExnSvZqt0,AxiomSL's RegCloud®️: Secure & Scalable Risk & Regulatory Reporting on AWS,English,other,False,False,True,11,0,True,True,True,False,100.0,0.0,81.82,0.0
8ZRWzn0G39g,Replicon: MultiTenant SaaS Solution with Bring Your Own Key BYOK Encryption for Enterprises,English,interactive,True,False,False,12,38,True,True,True,True,70.59,28.0,58.82,12.77
8s0wGRkiDrw,Mobilewalla: S3 Access Monitoring Using ML,English,data_ingestion,True,False,False,5,4,True,True,True,True,100.0,80.0,75.0,36.36
9-6hQdFeolc,Lyniate: Scaling Healthcare Data Exchange At Scale with Tenant Isolation,English,"interactive,control",True,False,False,8,8,True,True,True,True,76.92,28.57,76.92,28.57
9-a9Y5THTYo,Vitesco Technologies Cloud Foundation: A Scalable and Automated Cloud Landing Zone,English,control,True,False,False,7,6,True,True,True,True,76.92,71.43,66.67,57.14
90rWUjKjnAE,amazee.io: Kubernetes Deployments Made Easy,English,control,True,False,False,8,10,True,True,True,True,85.71,73.68,85.71,66.67
99nNHsbwBpg,SkyScanner: Building HighlyAvailable MultiRegion Kubernetes Clusters on 100 Amazon EC2 Spot,English,interactive,False,False,True,2,0,True,True,True,False,50.0,0.0,50.0,0.0
9Cg81Xgg7LQ,Pushpay Holdings Ltd : Strangling a Monolithic Application While Moving to Microservices on AWS,English,other,True,False,False,7,7,True,True,True,True,100.0,71.43,100.0,83.33
9JwZKseE9lc,This is My Architecture: Security Customer Spotlight,English,control,False,True,False,2,1,False,False,False,False,,,,
9LhiUsg3knw,Musixmatch: How Content is Generated by Users Italian,Italian,"data_ingestion,compute_intensive",False,False,False,13,8,True,True,True,False,90.0,52.63,80.0,23.53
9qTEHITVeLE,Majid Al Futtaim: Building a Custom Data Management Solution on AWS,English,"data_ingestion,interactive",True,False,False,9,14,True,True,True,True,80.0,40.0,80.0,61.54
9yziTe6lBwk,Ânima Educação: Digitizing Student Experience for Colleges in Brazil,English,interactive,True,False,False,10,16,True,True,True,True,90.0,64.0,90.0,64.0
A4Lfk1Zz1dE,Spot.io: Optimizing Cloud Infrastructure Through Secure Cost Aware Automation,English,control,True,False,False,8,5,True,True,True,True,100.0,16.67,100.0,33.33
AS2JeM2FUzE,Intellect Design Arena: Insurance Risk Assessment with Intellect FABRIC Data Services,English,"data_ingestion,interactive",True,False,False,9,12,True,True,True,True,88.89,72.73,84.21,69.57
AzM_d7ZvzUE,Epsagon: Automatically Tracing and Analyzing Billions of AWS Serverless Events,English,data_ingestion,True,False,False,11,20,True,True,True,True,100.0,70.97,87.5,38.71
BPvr0qWpJlA,ContactSuite: Automated Omni-Channel Service Desk Workflow,English,interactive,True,False,False,10,9,True,True,True,True,58.82,37.5,70.0,30.0
BX1K8x1lVLc,"Love, Bonito: Achieving Scalability Using Magento with Kubernetes",English,interactive,True,False,False,8,14,True,True,True,True,100.0,72.73,87.5,63.64
BZ32w0SSAoY,PixelStrings by Cinnafilm: A Flexible & Scalable Platform for Video Audio Optimization & Conversion,English,compute_intensive,True,False,False,7,19,True,True,True,True,80.0,60.0,80.0,51.85
BgT_bDAejSQ,GoDaddy: Empowering Agility with ZeroTrust Environment Best Practices,English,control,False,False,False,2,1,True,True,True,False,28.57,0.0,28.57,0.0
Bi-1xjXvKgs,tixCraft: Handling Millions of Ticketing Requests with AWS,English,interactive,True,False,False,5,6,True,True,True,True,75.0,46.15,75.0,46.15
BlCXEMp_lqY,Vizio: Smart TV Analytics at Scale,English,data_ingestion,True,False,False,6,9,True,True,True,True,100.0,71.43,83.33,42.86
CDCLwX2fo2g,Ztore: Building a Recommendation System on AWS (Cantonese),English,"compute_intensive,interactive",True,False,False,8,14,True,True,True,True,92.31,63.64,92.31,75.0
CE03UMddoYU,WEGoT aqua: Scaling IoT Platform for Water Management & Sustainability,English,data_ingestion,True,False,False,10,12,True,True,True,True,82.35,72.73,82.35,75.0
CTG23wd9H74,3M: Building an HPC Modeling Platform to Simplify AWS Usage for Scientists and Engineers,English,interactive,True,False,False,8,11,True,True,True,True,93.33,70.0,93.33,73.68
Ccutfm_Srzw,Zulily: A Compelling Suggestive Search Experience Using Amazon DocumentDB with MongoDB Compatibility,English,interactive,True,False,False,11,14,True,True,True,True,85.71,81.48,92.31,45.45
Cgv0kfp_6xQ,Snap: Journey of a Snap on Snapchat Using AWS,English,interactive,True,False,False,10,14,True,True,True,True,100.0,83.33,100.0,83.33
CsD5bmM6mpY,Linke - a Syntax Company: Building a Business Continuity Framework for SAP (Spanish),Spanish,control,True,False,False,6,7,True,True,True,True,92.31,53.33,92.31,42.86
Cw26CrJUqv8,Salesforce: Automating SaaS Application Connectivity,English,other,True,False,False,10,9,True,True,True,True,94.12,88.89,88.89,84.21
D6rG9eZ5Qus,Graham Media Group: Modernizing Traditional Broadcasting with AWS,English,interactive,True,False,False,9,9,True,True,True,True,77.78,58.82,77.78,58.82
D77FSUkPJ3o,"Avio Aero, a GE Aviation Business: Serverless Application to Manage Expense Purchase Approvals",English,interactive,True,False,False,8,12,True,True,True,True,85.71,54.55,85.71,54.55
D9qTotVJYss,HBO Max: Using Canaries for Outside-in Validation,English,data_ingestion,True,False,False,6,10,True,True,True,True,90.91,53.33,76.92,50.0
DAJZAygxDZA,BASF Digital Farming: Productionizing ML with a Cross-Account Model Deployment Solution,English,control,True,False,False,8,15,True,True,True,True,80.0,40.0,72.73,16.67
D_4dsXVqzMs,Met Office: Building an Entirely Serverless National Severe Weather Warning System on AWS,English,control,True,False,False,7,10,True,True,True,True,83.33,58.82,83.33,62.5
DkPPwq517aE,Enimbos:Creating a Saving Costs Management Platform using Serverless Compute Engine on AWS Span ,English,"interactive,control",True,False,False,10,14,True,True,True,True,100.0,78.26,100.0,78.26
DnTQ3matqts,ecofit: Responsive Lambda-based Microservices at Scale (LIVE),English,"data_ingestion,interactive",True,False,False,14,14,True,True,True,True,84.21,53.85,84.21,50.0
Dp3YAxFp-YM,Alef Education: Building an Adaptive Learning System for K12 Students using AWS,English,"data_ingestion,compute_intensive",True,False,False,10,14,True,True,True,True,94.12,72.0,94.12,69.57
DrkaU99l9S8,L&T Technology Services: Monitor & Analyze the Health of Industrial Equipment Using LTTS UBIQWeise,English,data_ingestion,True,False,False,12,13,True,True,True,True,76.19,64.0,76.19,53.85
DxHO2TWVN8I,Equinix: Massive Data Ingest  Analytics with Serverless Cloud Application Architectures on AWS,English,data_ingestion,True,False,False,10,19,True,True,True,True,88.89,46.67,90.0,50.0
Dxq_U1TNx1s,TCS: GeoSpatial Data Analysis Using TCS Digital Platform for NextGen Agriculture DNA,English,"data_ingestion,compute_intensive",True,False,False,11,17,True,True,True,True,63.16,42.86,63.16,42.86
E68ufJOduio,"Cohesity: Helios! Learn How to Back-up, Scale, Secure and Simplify Your Workloads on AWS",English,other,False,False,True,9,0,True,True,True,False,100.0,0.0,100.0,0.0
E8BGpIxzYc4,TownSq: Providing Performance Insights to Community Managers,English,data_ingestion,True,False,False,10,11,True,True,True,True,77.78,57.14,77.78,54.55
E8wYXtvGy5k,Freightways: Delivering 50M packages with Serverless Tracking Solution,English,interactive,True,False,False,10,12,True,True,True,True,100.0,85.71,85.71,76.19
EW4X5z7m-0U,Vanguard: A Modern Network TAP Solution for The Cloud,English,data_ingestion,True,False,False,9,11,False,False,False,False,,,,
EiljRL0977M,Neumora Therapeutics: Advanced MRI Precision Medicine and Brain Data Analysis Visualization at Scale,English,compute_intensive,True,False,False,7,13,True,True,True,True,85.71,44.44,85.71,42.11
Eoq7E6jMtBs,Orangetheory Fitness: Using Chime SDK to Power Coach-led Virtual Workouts with OTlive,English,interactive,True,False,False,10,20,True,True,True,True,94.74,54.55,94.74,45.16
ErXwuwF2mRU,Tapestry: Machine Learning and Analytics for the Fashion Industry on AWS,English,data_ingestion,True,False,False,9,10,True,True,True,True,84.21,42.11,90.0,50.0
F4KDOGNpSoI,Pernod Ricard: Shortening URLs on a Global Scale with Low Latency French,French,"data_ingestion,interactive",True,False,False,14,19,True,True,True,True,91.67,76.47,100.0,85.71
FHdtOtznWuA,"SoftChef: Building AWS Iot Application Using an Innovative, Fully Serverless Architecture (Mandarin)",Mandarin,control,True,False,False,10,18,True,True,True,True,82.35,56.0,94.74,43.48
Fd2c7NDYfpo,"Publicis Sapient: A Secure, Scalable & Self-provisioning Process to Create 20,000 accounts with AWS",English,control,True,False,False,8,12,True,True,True,True,85.71,60.0,85.71,60.0
Felt-hOU6kU,Xero: Building a Scalable Self-Service Portal for Thousands of Developers Provisioning Resources,English,control,True,False,False,7,4,True,True,True,True,85.71,66.67,85.71,66.67
FfSNnH2bbNc,Carbon by Indigo: Carbon Credits for Regenerative Agriculture,English,"data_ingestion,interactive",True,False,False,8,19,True,True,True,True,87.5,68.75,87.5,57.14
FftalZUxyiM,CEPSA: Finding the Best Internal Talent Using Amazon Neptune Spanish,Spanish,data_ingestion,True,False,False,9,14,True,True,True,True,92.31,66.67,92.31,66.67
FmhL2334GIY,New Relic: Automated Monitoring on AWS with New Relic Synthetics,English,other,True,False,False,10,11,True,True,True,True,60.0,30.0,72.73,38.1
FqCs3BD6qvo,Accellion kiteworks: Cost-Effective CI CD Platform Using Amazon EC2 Spot,English,control,True,False,False,6,10,True,True,True,True,88.89,33.33,80.0,35.29
G07keU4g-LU,Jubilant FoodWorks: Driving a Quality Customer Experience Using Data Lake,English,data_ingestion,True,False,False,10,21,True,True,True,True,70.59,36.36,77.78,37.5
G5tNCpmD2uQ,Voodoo: Perform Recommendations Using Machine Learning (French),French,interactive,True,False,False,9,12,True,True,True,True,93.33,44.44,100.0,52.63
GJ1So_pbZWk,Taysols: Next Best Offer Recommendation System using Amazon SageMaker,English,data_ingestion,True,False,False,9,23,True,True,True,True,82.35,48.48,82.35,48.48
Gds8hl8dKuo,Fugue: Staying in Compliance by Automating Drift Detection,English,control,True,False,False,8,12,True,True,True,True,80.0,47.62,87.5,31.58
GoziWpmFCS0,iRobot: Serverless Data Cataloging for Data Scientists,English,data_ingestion,False,False,False,4,2,True,True,True,False,100.0,40.0,75.0,30.77
GxjMSvwcgvw,Sopra Banking Software: Secured & Industrial Microservices for a Digital Banking Engagement Platform,English,interactive,True,False,False,8,13,True,True,True,True,66.67,50.0,66.67,50.0
H2fOkeXxpyw,Atlassian: Secure Code Invocation at Scale with Atlassian Forge on AWS,English,control,True,False,False,8,10,True,True,True,True,83.33,70.59,100.0,82.35
H51Ups01ZpU,AT&T: Bringing IoT to the Enterprise,English,interactive,False,False,True,6,0,True,True,True,False,92.31,0.0,92.31,0.0
H_S7CxtHgSM,Raiffeisen Bank International: Automated Integration of OnPremises Key Management with AWS KMS,English,other,True,False,False,11,12,True,True,True,True,82.35,56.0,82.35,56.0
HcmEFZukA-Y,7-Eleven: Innovation with Serverless for Cash-Based Digital Wallet,English,interactive,True,False,False,9,15,True,True,True,True,100.0,88.89,100.0,66.67
HrYfdnPp6qs,STAX: AWS Automated Data Analytics,English,data_ingestion,True,False,False,10,9,True,True,True,True,93.33,57.14,93.33,57.14
HwHVFWdczVw,MailUp Group: Marketing Campaign Planning and Management Italian,Italian,interactive,True,False,False,9,9,True,True,True,True,94.12,94.12,84.21,84.21
INog0_9tCtY,Threat Stack: Proactive Risk Identification and Real-time Threat Detection across AWS,English,data_ingestion,True,False,False,14,19,True,True,True,True,77.78,40.0,88.89,53.33
IP03SkGbP-U,Astana International Exchange: Running a Stock Exchange in the Cloud,English,interactive,True,False,False,8,7,True,True,True,True,87.5,62.5,87.5,62.5
IV3KuMGVNXI,Deep Instinct: Collecting RT Statistics and Applying RT Decisions with Lambda@Edge,English,interactive,True,False,False,7,17,True,True,True,True,100.0,43.48,100.0,36.36
ItpY_KKR94k,The Orchard: How the 'Kafka Data Highway' Boosts Developer Productivity & Enables Business Processes,English,data_ingestion,True,False,False,8,7,True,True,True,True,76.92,71.43,85.71,80.0
J4vHfpL66Zk,Lean Grids Services: Adaptable Data Platform Based on a Serverless Architecture Spanish,Spanish,data_ingestion,True,False,False,10,17,True,True,True,True,94.74,78.57,94.74,74.07
JG5p-i8Cr2E,ZS Associates: Building a SelfService Enterprise Data Engineering Platform,English,control,True,False,False,11,24,True,True,True,True,100.0,63.16,90.0,54.05
JRDGId6N49E,TRI-AD: Large-Scale and High-Performance Distributed Training Platform,English,compute_intensive,True,False,False,6,3,True,True,True,True,80.0,28.57,80.0,33.33
JSBB-BCvavQ,Talabat: Applying the Right Strategies for a Successful Migration,English,other,False,False,True,5,0,True,True,True,False,76.92,0.0,76.92,0.0
JVcKidzqpYY,Aramex: Leveraging AI ML to Enhance Customer Experience,English,"data_ingestion,interactive",True,False,False,9,13,True,True,True,True,88.89,69.57,88.89,69.57
JYeXbUdFOdw,Noventiq: Harnessing Search and Analytics with Event-Driven Architecture on Amazon OpenSearch,English,"data_ingestion,interactive",True,False,False,8,14,True,True,True,True,85.71,51.85,80.0,40.0
JcHSFIZMYHc,CleverTap: Building a Fully Version Controlled Infrastructure as Code on AWS,English,control,True,False,False,8,9,True,True,True,True,100.0,94.12,100.0,94.12
JiWHomdh1oI,Datacoral: Using Serverless to Create Data Pipelines,English,data_ingestion,True,False,False,7,11,True,True,True,True,80.0,76.19,80.0,80.0
Jkx6kVbDpL4,Nielsen: Processing 55TB of Data Per Day with AWS Lambda,English,data_ingestion,True,False,False,13,17,True,True,True,True,76.92,77.42,85.71,84.85
Jz2RPRhF6Fs,Accolade: Security and Operational Excellence in Healthcare LIVE,English,interactive,True,False,False,10,13,True,True,True,True,88.89,72.73,100.0,81.82
K27WjYwyqw8,Next Caller: Phone Caller Fraud Detection with AWS Sagemaker,English,interactive,True,False,False,8,11,True,True,True,True,85.71,70.0,92.31,73.68
K5ww_O4vsxo,Samsung Cloud: Global Hybrid Network Optimization Across 5 AWS Regions Using AWS Transit Gateway,English,control,False,False,False,15,52,True,True,True,False,66.67,28.57,66.67,28.57
KM5ONS2fnG0,HP: Serverless Data Pipeline to Process Manufacturing Data From Assembly Lines in Near Real-Time,English,data_ingestion,True,False,False,10,20,True,True,True,True,77.78,48.28,77.78,42.86
KQ6Fg206O9U,VietJet: Proactively Defending Your Systems from Bad Bots,English,data_ingestion,True,False,False,10,14,True,True,True,True,84.21,48.0,90.0,72.0
Kebb0LOVC28,Openfit: ChatOps with Slack and AWS Lambda,English,control,True,False,False,9,21,True,True,True,True,76.92,37.04,76.92,37.04
KgRib8AM0fs,Hudl: Ingesting and Transcoding Video Data Using AWS,English,compute_intensive,True,False,False,7,8,True,True,True,True,62.5,23.53,71.43,13.33
KiH7hVJKzns,ADP: Unmatched People Data for Extraordinary Outcomes,English,interactive,True,False,False,8,14,True,True,True,True,100.0,69.57,82.35,58.33
Kp088QTRmLk,NewsUK: Rendering News Content with GraphQL and a Serverless Architecture,English,interactive,True,False,False,9,10,True,True,True,True,92.31,94.74,80.0,80.0
Kp51k6LY-2c,Toyota Motor NA: Lake House Architecture for Data and Analytics,English,data_ingestion,True,False,False,8,16,True,True,True,True,87.5,50.0,80.0,36.36
KywvGM6HVXI,Capillary Technologies: Building an OmniChannel Data Ingestion Platform,English,data_ingestion,True,False,False,11,22,True,True,True,True,88.89,60.61,77.78,48.48
KzJKdUZ3Ba4,PwC: Streamlining Asset Tracking with Amazon Managed Blockchain,English,interactive,True,False,False,4,6,True,True,True,True,66.67,20.0,57.14,20.0
LD5ksgnu8r8,DXC: Claims Automation Using Amazon Textract and Amazon Comprehend,English,compute_intensive,True,False,False,11,13,True,True,True,True,73.68,64.0,73.68,54.55
LPZlrX2cNjo,RedBus: Building Optimized ML Models with Amazon SageMaker,English,compute_intensive,False,False,False,4,4,True,True,True,False,75.0,25.0,100.0,50.0
LYP98nPBj2A,Singtel: Next-Generation Mobile Financial Services Platform on AWS and Amazon Aurora PostgreSQL,English,interactive,True,False,False,5,8,True,True,True,True,66.67,46.15,80.0,40.0
LxeSC3-xMlk,St. Louis University: Using Amazon Lex to Answer Students' Questions Through Alexa and a Mobile App,English,interactive,True,False,False,8,15,True,True,True,True,94.12,60.87,94.12,58.33
Ly_UhX3LCCs,AWS Solutions: Simple and Secure Media Exchange on AWS,English,other,True,False,False,7,7,True,True,True,True,88.89,42.86,100.0,47.06
M_hqigB9C4I,Innovaccer: Deriving Insights from Healthcare Data to Empower Care Teams,English,"data_ingestion,compute_intensive",True,False,False,9,16,True,True,True,True,75.0,33.33,62.5,25.0
MbkLJ62jtMc,Mueller Water Products: Scalable Ingestion of Sensor Data for Municipal Water Conservation LIVE,English,control,True,False,False,6,4,True,True,True,True,76.92,60.0,71.43,54.55
N0NBhnxez00,This is My Architecture: Analytics Customer Spotlight,English,control,False,True,False,2,1,False,False,False,False,,,,
N2mktbl8EQk,An Under the Hood Tune Up with AWS DeepRacer,English,compute_intensive,True,False,False,6,9,True,True,True,True,66.67,28.57,83.33,42.86
NfUwtK8ALtw,MX Player: Achieving Massive Scalability Using Amazon EKS with Spot Instances,English,compute_intensive,True,False,False,9,16,True,True,True,True,80.0,22.22,93.33,35.71
O11BgSm7V14,HeyJobs: Moving to a Serverless Data Platform to Process and Enrich Over 3 Million Records a Day,English,data_ingestion,True,False,False,10,13,True,True,True,True,80.0,72.73,80.0,44.44
O5Sn5QCEAzE,Credimi: Processing and Metadata Extraction of Invoices for Factoring Italian,Italian,data_ingestion,True,False,False,7,9,True,True,True,True,92.31,50.0,100.0,87.5
OQKOHNtyz3E,Vodafone NZ: Data Driven Omni Channel Contact Center via Automation and Continuous Improvement,English,interactive,True,False,False,11,24,True,True,True,True,94.74,50.0,88.89,51.43
OWLGK-eVrTw,Heimdall Data: Query Caching Without Code Changes,English,interactive,True,False,False,6,16,True,True,True,True,72.73,9.09,72.73,9.09
OmVQ6pNDbaY,Solarwinds: Monitoring Kubernetes Clusters on AWS,English,other,False,False,True,2,0,True,True,True,False,80.0,0.0,80.0,0.0
OrC9cLYMbas,Telecoming: How To Save Up to 70% Using Fargate Spot on a Test Automation Platform (Spanish),Spanish,control,True,False,False,5,7,True,True,True,True,90.91,36.36,83.33,18.18
OuQvFd44vw4,econda GmbH: Building a RealTime Personalization Engine with Amazon Sagemaker and AWS ECS,English,"compute_intensive,interactive",True,False,False,10,9,True,True,True,True,93.33,70.0,87.5,77.78
Ozbv9qBsDG8,Clumio: Enterprise Backup as a Service with an AlwaysOn Security Model,English,other,True,False,False,11,17,True,True,True,True,94.12,48.0,84.21,48.28
PBa68gCG0Uk,Launchmetrics: How Launchmetrics Produces Fashion Luxury and Beauty Data Insights for 1B Users,English,data_ingestion,True,False,False,7,7,True,True,True,True,80.0,76.92,90.91,76.92
Pc7_uOdlGKo,Panasonic Avionics: Weather Data and ML Models Improve In-Flight Entertainment Customer Satisfaction,English,data_ingestion,True,False,False,9,9,True,True,True,True,85.71,87.5,87.5,88.89
PgeQufaQy7I,"MindTickle: Building a Secure, Automated, Multi-Region Architecture on AWS",English,interactive,True,False,False,8,8,True,True,True,True,80.0,71.43,93.33,85.71
PoYiSKUy8sE,Alert Logic: Scaling Storage and Delivery of Petabytes of Search Data,English,"data_ingestion,interactive",True,False,False,14,19,True,True,True,True,87.5,62.07,75.0,41.38
Q6r_QbYXFpg,SynchroNet: Extending User Automation and Amazon WorkSpaces Provisioning with AWS Step Functions,English,other,True,False,False,11,9,True,True,True,True,100.0,100.0,100.0,100.0
QJZHs1CSxu0,Define Media: How Define Media Places Ads with Low Latency Using Sophisticated Machine Learning,English,compute_intensive,True,False,False,6,6,True,True,True,True,83.33,50.0,100.0,83.33
