run_type,video_id,gt_name,categories,gen_nodes,gt_nodes,node_count_ratio,svc_precision,svc_recall,svc_f1,ms_precision,ms_recall,ms_f1,gen_edges,gt_edges,edge_precision,edge_recall,edge_f1,edge_type_accuracy,gen_workflows,gt_workflows,services_missing,services_hallucinated
Standard (data/graphs),c8615P0yfi8,Ounass: Building a Scalable Recommender Architecture Powered by the Word2vec Algorithm (Arabic),data_ingestion,10,10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,11,0,0.0000,0.0000,0.0000,0.0000,2,0,,
Standard (data/graphs),chQ1phTqvnY,Hi Res Cam: High Performance Object Detection with AWS Lambda Rekognition  TensorFlow German,"data_ingestion,compute_intensive",10,10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,10,24,0.9000,0.3750,0.5294,0.4444,4,3,,
Standard (data/graphs),cnZeOytEkIM,Property Finder: Running Production Workloads with Amazon EKS on 100% Amazon EC2 Spot Instances,interactive,8,6,1.3333,1.0000,1.0000,1.0000,0.7500,1.0000,0.8571,6,6,0.6667,0.6667,0.6667,0.5000,2,2,,
Standard (data/graphs),fppIOuRMI2g,Instructure: Elevating Digital Education to the Next-Level Event Driven CI/CD Deployments Globally,control,7,7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,6,7,1.0000,0.8571,0.9231,0.3333,1,1,,
Standard (data/graphs),h0HE3bOEiMk,HDFC Life: Event Driven DataLake and Recovery,control,7,7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9,9,0.8889,0.8889,0.8889,0.8750,3,4,,
Standard (data/graphs),hnMQFnTGr3I,Nanit: How Nanit Streams and Analyzes Video from Hundreds of Thousands of Cameras,"data_ingestion,interactive",12,9,1.3333,1.0000,1.0000,1.0000,0.7500,1.0000,0.8571,12,24,1.0000,0.5000,0.6667,0.5833,2,6,,
Standard (data/graphs),hrhBOOrR5v0,PureWeb: Building a Global 3D Streaming Platform For Limitless Experiences,interactive,8,9,0.8889,1.0000,1.0000,1.0000,1.0000,0.8889,0.9412,9,12,0.8889,0.6667,0.7619,0.5000,3,3,,
Standard (data/graphs),ilsJgwcAshE,Amagi: Powering High Availability Broadcast Playout on AWS Cloud,data_ingestion,10,9,1.1111,1.0000,1.0000,1.0000,0.9000,1.0000,0.9474,10,9,0.8000,0.8889,0.8421,1.0000,3,4,,
Standard (data/graphs),iwDNnyiD26M,Cedrus: Migrating a Legacy Application to a Serverless Ecosystem,interactive,10,9,1.1111,1.0000,1.0000,1.0000,0.9000,1.0000,0.9474,12,9,0.5833,0.7778,0.6667,0.4286,3,4,,
Standard (data/graphs),jBffL9zUCSE,"The New York Times: Giving Developers the Freedom to Deploy, While Governing Cloud Services at Scale",control,7,7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,5,11,1.0000,0.4545,0.6250,0.4000,3,4,,
Standard (data/graphs),jV8DwutbXbg,Tandem Bank: Processing Transaction Data using AWS Lambda with NLP,data_ingestion,7,7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,6,11,1.0000,0.5455,0.7059,0.5000,1,2,,
Standard (data/graphs),jzKCg9Z5_8Q,Blackboard Anthology: Building and Governing an AWS Environment with 120 Accounts,control,7,6,1.1667,1.0000,1.0000,1.0000,0.8571,1.0000,0.9231,6,0,0.0000,0.0000,0.0000,0.0000,1,0,,
Standard (data/graphs),k7h0jpLcWdE,Carano Software Solutions: Accelerate Adoption of Microservices with Serverless,interactive,8,8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,8,8,0.7500,0.7500,0.7500,0.0000,2,4,,
Standard (data/graphs),ktonI7J3kLY,Grabyo: Using Serverless for Smart Capacity Provisioning and Orchestration,"interactive,control",6,5,1.2000,1.0000,1.0000,1.0000,0.8333,1.0000,0.9091,5,8,0.6000,0.3750,0.4615,0.0000,2,2,,
Standard (data/graphs),l0mvXogANE4,Smadex: Serving Billions of Ads with Amazon ElastiCache for Redis (Spanish),"data_ingestion,interactive",9,8,1.1250,1.0000,1.0000,1.0000,0.8889,1.0000,0.9412,11,14,1.0000,0.7857,0.8800,0.7273,3,4,,
Standard (data/graphs),lecbHMBD8KQ,Kaleido: Blockchain Cloud at AWS Speed,other,12,12,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,8,0.7143,0.6250,0.6667,1.0000,2,4,,
Standard (data/graphs),lkDq9g43djw,FINBOURNE: How Finbourne Assures Resiliency Through Chaos Engineering Events Every 17 min,data_ingestion,7,5,1.4000,1.0000,1.0000,1.0000,0.7143,1.0000,0.8333,4,4,0.7500,0.7500,0.7500,1.0000,1,2,,
Standard (data/graphs),mT4KDGRgo4k,Heimdall Data: Scale-Out Amazon RDS with Strong Consistency,control,8,5,1.6000,1.0000,1.0000,1.0000,0.6250,1.0000,0.7692,6,9,0.8333,0.5556,0.6667,0.6000,3,2,,
Standard (data/graphs),mZxF1IJEsaY,Zappos: Back Office Migration starring Amazon ECS and Amazon Aurora,data_ingestion,8,8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,8,8,1.0000,1.0000,1.0000,0.5000,2,2,,
Standard (data/graphs),mxKhbU_ToMs,MindTouch: Modernizing Legacy C Applications to  NET Core on AWS Lambda,compute_intensive,9,9,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9,13,1.0000,0.6923,0.8182,0.3333,2,8,,
Standard (data/graphs),nM-AkqNh7Yo,from scratch: Resource Manager Controls Task Distribution with Multiple Amazon EMR Clusters,data_ingestion,11,8,1.3750,1.0000,1.0000,1.0000,0.7273,1.0000,0.8421,15,10,0.4000,0.6000,0.4800,0.3333,4,2,,
Standard (data/graphs),plce6pRdx6o,Strikingly: Build a Website in 20 Minutes on AWS,other,12,8,1.5000,1.0000,1.0000,1.0000,0.6667,1.0000,0.8000,6,6,0.3333,0.3333,0.3333,0.0000,2,2,,
Standard (data/graphs),r3g1Nym-ebY,Volkswagen Financial Services: Scaling Their Managed Platform Services by 600,other,7,7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,5,0,0.0000,0.0000,0.0000,0.0000,2,0,,
Standard (data/graphs),sSa4ikC8-Jc,HMH: Lightweight PCI Compliance Infrastructure on AWS,"interactive,control",13,11,1.1818,1.0000,1.0000,1.0000,0.8462,1.0000,0.9167,12,24,0.8333,0.4167,0.5556,0.7000,3,6,,
Standard (data/graphs),tTQ36qQF_vA,AWS Solutions: MultiRegion Availability with Amazon DynamoDB Amazon S3 and Amazon Cognito LIVE,other,9,5,1.8000,1.0000,1.0000,1.0000,0.5556,1.0000,0.7143,5,0,0.0000,0.0000,0.0000,0.0000,4,0,,
Standard (data/graphs),uMX94Mn9u-4,Kmong: Enhancing Security by Leveraging AWSs Security EPICs Acceleration Program Korean,control,10,10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,10,10,0.8000,0.8000,0.8000,0.2500,2,7,,
Standard (data/graphs),uOSpWdAyrZo,HBO Max: Automating Remediation of AWS Resource Misconfigurations,control,9,8,1.1250,1.0000,1.0000,1.0000,0.8889,1.0000,0.9412,9,7,0.7778,1.0000,0.8750,0.2857,4,4,,
Standard (data/graphs),uda9s3U7vFw,Tooso: How to Build a Serverless Pipeline for Data Ingestion and PreProcessing Italian,data_ingestion,10,10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9,10,1.0000,0.9000,0.9474,0.3333,2,2,,
Standard (data/graphs),unFVfqj9cQ8,Contino: Measuring and Communicating The Business Impact of Landing Zones with Flight Controller,data_ingestion,8,8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,5,7,0.8000,0.5714,0.6667,0.7500,1,2,,
Standard (data/graphs),wE3TmHxyRdA,Innovapost: Scaling to 5M Package Deliveries with Serverless,control,8,8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9,9,1.0000,1.0000,1.0000,0.6667,3,3,,
Standard (data/graphs),wzj2VQutJws,DataDog: Scaling Kubernetes with Metaclusters on AWS,control,8,9,0.8889,1.0000,1.0000,1.0000,1.0000,0.8889,0.9412,4,8,1.0000,0.5000,0.6667,0.5000,2,6,,
Standard (data/graphs),x76BIV88j_M,Cabify: Building a Massively Scalable Ride-Sharing Mobile App with Containers (Spanish),interactive,8,8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,11,0.8571,0.5455,0.6667,0.8333,3,1,,
Standard (data/graphs),yXpd8gPfows,Inawisdom: How Insurance Companies are Using IDP to Optimize Document Processing,compute_intensive,9,9,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,13,19,0.8462,0.5789,0.6875,0.7273,4,6,,
Standard (data/graphs),zqiNLMmEeSo,CloudPlex Media: FullyManaged Serverless Online Video Platform on AWS Korean,interactive,11,10,1.1000,1.0000,1.0000,1.0000,0.9091,1.0000,0.9524,6,0,0.0000,0.0000,0.0000,0.0000,4,0,,
Standard (data/graphs),zr3Kib0i-OQ,Accenture: Large Scale Asset Inventory Tracking with AWS Fargate,data_ingestion,9,7,1.2857,1.0000,1.0000,1.0000,0.7778,1.0000,0.8750,6,6,1.0000,1.0000,1.0000,0.5000,1,1,,
Standard (data/graphs),2L0m28ZLmtE,Sanofi with TeamWork: OnDemand Data Science Environment,compute_intensive,14,13,1.0769,0.9231,1.0000,0.9600,0.9286,1.0000,0.9630,12,11,0.6667,0.7273,0.6957,0.6250,4,7,,UserCompanyAnalyst
Standard (data/graphs),6sew_hdI6cY,Triboo: Hosting Magento on Containers Italian,other,14,15,0.9333,1.0000,0.9231,0.9600,1.0000,0.9333,0.9655,10,18,1.0000,0.5556,0.7143,0.7000,2,1,EFS,
Standard (data/graphs),YosezjoL4MU,Korean Airline: Data Warehouse Modernization on AWS Korean,control,11,12,0.9167,1.0000,0.9167,0.9565,1.0000,0.9167,0.9565,10,11,1.0000,0.9091,0.9524,0.7000,3,7,UserCompanyAnalyst,
Standard (data/graphs),2f_NYiPJQt4,Appway: Securing Sensitive Banking Workflows with Isolated Architecture on AWS,control,11,10,1.1000,0.9091,1.0000,0.9524,0.9091,1.0000,0.9524,9,9,0.7778,0.7778,0.7778,0.5714,3,4,,UserConsumerWeb
Standard (data/graphs),dAQhNjwkOX8,Cation Consulting: How to Build a Scalable Chatbot and Deploy to Europe's Largest Airline,"data_ingestion,interactive",12,14,0.8571,1.0000,0.9091,0.9524,1.0000,0.8571,0.9231,14,24,0.7857,0.4583,0.5789,0.6364,4,4,UserConsumerAPI,
Standard (data/graphs),ihB2dRYLOOI,UltraServe: Application Vending Machine with Runtime Event Control (LIVE),"compute_intensive,interactive",11,12,0.9167,1.0000,0.9091,0.9524,1.0000,0.9167,0.9565,9,7,0.4444,0.5714,0.5000,0.0000,2,2,UserConsumerAPI,
Standard (data/graphs),07lfvavMdfU,Levels Beyond: Digital Content Orchestration,data_ingestion,9,10,0.9000,1.0000,0.9000,0.9474,1.0000,0.9000,0.9474,9,14,0.8889,0.5714,0.6957,0.5000,1,7,UserConsumerWeb,
Standard (data/graphs),Eoq7E6jMtBs,Orangetheory Fitness: Using Chime SDK to Power Coach-led Virtual Workouts with OTlive,interactive,10,10,1.0000,0.9000,1.0000,0.9474,0.9000,0.9000,0.9000,13,20,0.6923,0.4500,0.5455,0.6667,4,5,,UserConsumerWeb
Standard (data/graphs),J4vHfpL66Zk,Lean Grids Services: Adaptable Data Platform Based on a Serverless Architecture Spanish,data_ingestion,9,10,0.9000,1.0000,0.9000,0.9474,1.0000,0.9000,0.9474,11,17,1.0000,0.6471,0.7857,0.7273,5,4,UserConsumerAPI,
Standard (data/graphs),OQKOHNtyz3E,Vodafone NZ: Data Driven Omni Channel Contact Center via Automation and Continuous Improvement,interactive,12,11,1.0909,0.9000,1.0000,0.9474,0.8333,0.9091,0.8696,12,24,0.7500,0.3750,0.5000,0.5556,4,6,,UserCompanyAnalyst
Standard (data/graphs),rRvy5Fbei1s,Dentsu Tracking: Using Serverless to Power an EU Government Supply-Chain Control System,data_ingestion,11,13,0.8462,1.0000,0.9000,0.9474,1.0000,0.8462,0.9167,11,13,0.8182,0.6923,0.7500,0.5556,3,4,UserConsumerAPI,
Standard (data/graphs),vp8oPiHN4cA,Novartis - Buying Engine: AI-powered Procurement Portal,"data_ingestion,interactive",9,14,0.6429,1.0000,0.9000,0.9474,1.0000,0.6429,0.7826,11,19,0.4545,0.2632,0.3333,0.8000,4,8,UserConsumerWeb,
Standard (data/graphs),0wnNlOg42dc,Spyne.AI: High-Quality Product Visuals at Scale with AI on AWS,compute_intensive,9,8,1.1250,0.8889,1.0000,0.9412,0.8889,1.0000,0.9412,9,12,0.8889,0.6667,0.7619,0.7500,2,3,,ThirdParty
Standard (data/graphs),4zVB5RbSTCo,Electroneum: Mobile Cryptocurrency Mining!,data_ingestion,8,9,0.8889,1.0000,0.8889,0.9412,1.0000,0.8889,0.9412,6,14,1.0000,0.4286,0.6000,0.6667,2,3,UserConsumerMobile,
Standard (data/graphs),5QbKp0LQaZo,GumGum Verity: Low Latency Contextual Analysis and Data Privacy at Scale on AWS Outposts,compute_intensive,10,10,1.0000,0.8889,1.0000,0.9412,0.9000,0.9000,0.9000,10,16,0.5000,0.3125,0.3846,0.6000,5,2,,UserConsumerAPI
Standard (data/graphs),7LziNjUTo7w,IHS Markit: Virtual Instructor-Led Trainings with IHS Markit (now part of S&P Global),interactive,9,9,1.0000,0.8889,1.0000,0.9412,0.8889,0.8889,0.8889,10,16,0.9000,0.5625,0.6923,0.2222,2,4,,UserCompanyDeveloper
Standard (data/graphs),Cw26CrJUqv8,Salesforce: Automating SaaS Application Connectivity,other,9,10,0.9000,1.0000,0.8889,0.9412,1.0000,0.9000,0.9474,9,9,0.8889,0.8889,0.8889,0.5000,2,2,UserConsumerWeb,
Standard (data/graphs),Dp3YAxFp-YM,Alef Education: Building an Adaptive Learning System for K12 Students using AWS,"data_ingestion,compute_intensive",10,10,1.0000,0.8889,1.0000,0.9412,0.9000,0.9000,0.9000,11,14,0.8182,0.6429,0.7200,0.6667,4,6,,UserConsumerWebMobile
Standard (data/graphs),HwHVFWdczVw,MailUp Group: Marketing Campaign Planning and Management Italian,interactive,8,9,0.8889,1.0000,0.8889,0.9412,1.0000,0.8889,0.9412,8,9,1.0000,0.8889,0.9412,0.7500,3,6,UserConsumerWebMobile,
Standard (data/graphs),LxeSC3-xMlk,St. Louis University: Using Amazon Lex to Answer Students' Questions Through Alexa and a Mobile App,interactive,9,8,1.1250,0.8889,1.0000,0.9412,0.8889,1.0000,0.9412,8,15,0.8750,0.4667,0.6087,0.8571,3,2,,UserConsumerWeb
Standard (data/graphs),Ozbv9qBsDG8,Clumio: Enterprise Backup as a Service with an AlwaysOn Security Model,other,11,11,1.0000,0.8889,1.0000,0.9412,0.9091,0.9091,0.9091,8,17,0.7500,0.3529,0.4800,0.8333,3,8,,CloudFormation
Standard (data/graphs),dy-drIboyNA,Healthdirect Australia: Using AWS to Connect People with Healthcare,"data_ingestion,interactive",12,15,0.8000,1.0000,0.8889,0.9412,1.0000,0.8000,0.8889,12,13,0.8333,0.7692,0.8000,0.7000,5,3,UserConsumerAPI,
Standard (data/graphs),f5EJBUfGZtw,Expedia: Salesforce Integration with AWS,data_ingestion,10,10,1.0000,1.0000,0.8889,0.9412,0.9000,0.9000,0.9000,9,8,0.7778,0.8750,0.8235,1.0000,2,2,UserConsumerAPI,
Standard (data/graphs),fRv8sOUyhZw,Ippon with Euler Hermes: Transforming a Monolithic Application of Data Analytics with Microservices,data_ingestion,9,10,0.9000,1.0000,0.8889,0.9412,1.0000,0.9000,0.9474,10,13,1.0000,0.7692,0.8696,0.8000,2,7,UserCompanyAPI,
Standard (data/graphs),j9OZ-7aCAyA,Homesite: Event-Driven Data Analytics Platform Using Amazon Neptune,data_ingestion,8,9,0.8889,1.0000,0.8889,0.9412,1.0000,0.8889,0.9412,6,15,0.8333,0.3333,0.4762,0.4000,1,4,UserCompanyDataStream,
Standard (data/graphs),m8xtR3-ZQs8,Biogen: Centralized Logging Solution for Multi Accounts,data_ingestion,10,10,1.0000,0.8889,1.0000,0.9412,0.9000,0.9000,0.9000,8,10,0.8750,0.7000,0.7778,0.8571,1,5,,VPC
Standard (data/graphs),oEmuI32GYww,LG Electronics  ThinQ: Data Lake Storage for Connected Devices,data_ingestion,10,10,1.0000,1.0000,0.8889,0.9412,0.9000,0.9000,0.9000,7,5,0.5714,0.8000,0.6667,1.0000,1,1,UserConsumerEdge,
Standard (data/graphs),qv9q0sFt6aY,LotteOn: BI Platform Using MicroStrategy Amazon Redshift and AWS Glue on AWS Korean,data_ingestion,11,11,1.0000,0.8889,1.0000,0.9412,0.8182,0.8182,0.8182,12,17,0.4167,0.2941,0.3448,0.8000,2,3,,OnPremDC
Standard (data/graphs),uQFtb0iMC_s,AWS Solutions: Media Analysis,data_ingestion,9,8,1.1250,0.8889,1.0000,0.9412,0.8889,1.0000,0.9412,11,9,0.8182,1.0000,0.9000,0.5556,4,4,,SageMaker
