video_id,title,is_valid_evaluation,classification_status,gt_nodes,gt_edges,std_svc_f1,pars_svc_f1,svc_f1_diff,std_edge_f1,pars_edge_f1,edge_f1_diff,better_model_svc,better_model_edge
OWLGK-eVrTw,Heimdall Data: Query Caching Without Code Changes,True,Usable Evaluation,6,16,0.7692,,,0.0769,,,Standard Only,Standard Only
6LcSv9XocTY,Intuit: Serving 7 Million Customers Using Amazon Connect,True,Usable Evaluation,11,18,0.7619,0.8235,0.0616,0.5294,0.4444,-0.0850,Parsimonious,Standard
QOtCpD23118,LeasePlan: Leverages Serverless to Increase Driver Safety Reduce Fleet Costs and Lower Risk,True,Usable Evaluation,11,10,0.7500,0.7500,0.0000,0.7619,0.7619,0.0000,Tie,Tie
gpWR5JBC64A,FoodHub: Enabling Massive Scale Order Processing with Serverless Architecture,True,Usable Evaluation,8,6,0.7500,,,0.5556,,,Standard Only,Standard Only
KzJKdUZ3Ba4,PwC: Streamlining Asset Tracking with Amazon Managed Blockchain,True,Usable Evaluation,4,6,0.7500,,,0.3750,,,Standard Only,Standard Only
BPvr0qWpJlA,ContactSuite: Automated Omni-Channel Service Desk Workflow,True,Usable Evaluation,10,9,0.7368,0.6316,-0.1052,0.3000,0.3333,0.0333,Standard,Parsimonious
INog0_9tCtY,Threat Stack: Proactive Risk Identification and Real-time Threat Detection across AWS,True,Usable Evaluation,14,19,0.7273,0.8889,0.1616,0.5263,0.5333,0.0070,Parsimonious,Parsimonious
2XVgpMwY5iE,Keen Eye: Building Deep Learning Models for Digital Pathology Image Analysis,True,Usable Evaluation,7,12,0.7143,0.7143,0.0000,0.3846,0.4762,0.0916,Tie,Parsimonious
3WgTBTDlQN8,FanFight: Building a Realtime Fantasy League Gaming Platform on AWS,True,Usable Evaluation,9,14,0.7059,0.7059,0.0000,0.4286,0.4167,-0.0119,Tie,Standard
M_hqigB9C4I,Innovaccer: Deriving Insights from Healthcare Data to Empower Care Teams,True,Usable Evaluation,9,16,0.7059,,,0.4000,,,Standard Only,Standard Only
D6rG9eZ5Qus,Graham Media Group: Modernizing Traditional Broadcasting with AWS,True,Usable Evaluation,9,9,0.7000,0.7778,0.0778,0.5263,0.5882,0.0619,Parsimonious,Parsimonious
G07keU4g-LU,Jubilant FoodWorks: Driving a Quality Customer Experience Using Data Lake,True,Usable Evaluation,10,21,0.7000,0.7778,0.0778,0.4167,0.3750,-0.0417,Parsimonious,Standard
62E9ggjGS8I,DISH Network: Building a Self-Service Portal to Create Multiple Accounts at Scale,False,Invalid Ground Truth,7,9,0.6667,1.0000,0.3333,0.1905,0.6154,0.4249,Parsimonious,Parsimonious
MbkLJ62jtMc,Mueller Water Products: Scalable Ingestion of Sensor Data for Municipal Water Conservation LIVE,True,Usable Evaluation,6,4,0.6667,,,0.2727,,,Standard Only,Standard Only
K5ww_O4vsxo,Samsung Cloud: Global Hybrid Network Optimization Across 5 AWS Regions Using AWS Transit Gateway,False,Invalid Ground Truth,15,52,0.6667,,,0.4722,,,Standard Only,Standard Only
KywvGM6HVXI,Capillary Technologies: Building an OmniChannel Data Ingestion Platform,True,Usable Evaluation,11,22,0.6316,,,0.3529,,,Standard Only,Standard Only
DAJZAygxDZA,BASF Digital Farming: Productionizing ML with a Cross-Account Model Deployment Solution,True,Usable Evaluation,8,15,0.6154,0.7273,0.1119,0.1429,0.1667,0.0238,Parsimonious,Parsimonious
99nNHsbwBpg,SkyScanner: Building HighlyAvailable MultiRegion Kubernetes Clusters on 100 Amazon EC2 Spot,False,Invalid Ground Truth,2,0,0.5714,1.0000,0.4286,0.0000,0.0000,0.0000,Parsimonious,Tie
4-teOQ_dJvY,SBB Cargo: Data Collection and Processing with Serverless Analytics Services,True,Usable Evaluation,9,13,0.5714,0.7143,0.1429,0.4000,0.6400,0.2400,Parsimonious,Parsimonious
LYP98nPBj2A,Singtel: Next-Generation Mobile Financial Services Platform on AWS and Amazon Aurora PostgreSQL,True,Usable Evaluation,5,8,0.5333,,,0.1818,,,Standard Only,Standard Only
3yJZ6rPoZfg,Hexagon HxDR: Cloud-Based Visualization of Spatial Data,True,Usable Evaluation,7,9,0.5000,0.5000,0.0000,0.3333,0.2353,-0.0980,Tie,Standard
BgT_bDAejSQ,GoDaddy: Empowering Agility with ZeroTrust Environment Best Practices,False,Invalid Ground Truth,2,1,0.2000,0.2857,0.0857,0.0000,0.0000,0.0000,Parsimonious,Tie
9Cg81Xgg7LQ,Pushpay Holdings Ltd : Strangling a Monolithic Application While Moving to Microservices on AWS,True,Usable Evaluation,7,7,,1.0000,,,0.7143,,Parsimonious Only,Parsimonious Only
G5tNCpmD2uQ,Voodoo: Perform Recommendations Using Machine Learning (French),True,Usable Evaluation,9,12,,1.0000,,,0.5263,,Parsimonious Only,Parsimonious Only
H2fOkeXxpyw,Atlassian: Secure Code Invocation at Scale with Atlassian Forge on AWS,True,Usable Evaluation,8,10,,1.0000,,,0.8235,,Parsimonious Only,Parsimonious Only
fppIOuRMI2g,Instructure: Elevating Digital Education to the Next-Level Event Driven CI/CD Deployments Globally,True,Usable Evaluation,7,7,,1.0000,,,0.9231,,Parsimonious Only,Parsimonious Only
iKYvG5aiIn8,TrueBlue: Scaling Job Matching with a Serverless Delta Lake,True,Usable Evaluation,9,7,,1.0000,,,0.8000,,Parsimonious Only,Parsimonious Only
jBffL9zUCSE,"The New York Times: Giving Developers the Freedom to Deploy, While Governing Cloud Services at Scale",True,Usable Evaluation,7,11,,1.0000,,,0.6250,,Parsimonious Only,Parsimonious Only
lkDq9g43djw,FINBOURNE: How Finbourne Assures Resiliency Through Chaos Engineering Events Every 17 min,True,Usable Evaluation,5,4,,1.0000,,,0.5000,,Parsimonious Only,Parsimonious Only
Eoq7E6jMtBs,Orangetheory Fitness: Using Chime SDK to Power Coach-led Virtual Workouts with OTlive,True,Usable Evaluation,10,20,,0.9474,,,0.4516,,Parsimonious Only,Parsimonious Only
bikXzsVihF4,United Airlines: How to Use AWS Backup to Protect Data from Ransomware Events,True,Usable Evaluation,7,10,,0.9333,,,0.4706,,Parsimonious Only,Parsimonious Only
unFVfqj9cQ8,Contino: Measuring and Communicating The Business Impact of Landing Zones with Flight Controller,True,Usable Evaluation,8,7,,0.9333,,,0.9231,,Parsimonious Only,Parsimonious Only
qi017F1UwvM,Salesflo: Transforming FieldForce Operations Using EventDriven Architecture,True,Usable Evaluation,17,24,,0.9286,,,0.6667,,Parsimonious Only,Parsimonious Only
CsD5bmM6mpY,Linke - a Syntax Company: Building a Business Continuity Framework for SAP (Spanish),True,Usable Evaluation,6,7,,0.9231,,,0.4286,,Parsimonious Only,Parsimonious Only
ErXwuwF2mRU,Tapestry: Machine Learning and Analytics for the Fashion Industry on AWS,True,Usable Evaluation,9,10,,0.9000,,,0.5000,,Parsimonious Only,Parsimonious Only
JG5p-i8Cr2E,ZS Associates: Building a SelfService Enterprise Data Engineering Platform,True,Usable Evaluation,11,24,,0.9000,,,0.5405,,Parsimonious Only,Parsimonious Only
E8wYXtvGy5k,Freightways: Delivering 50M packages with Serverless Tracking Solution,True,Usable Evaluation,10,12,,0.8571,,,0.7619,,Parsimonious Only,Parsimonious Only
Fd2c7NDYfpo,"Publicis Sapient: A Secure, Scalable & Self-provisioning Process to Create 20,000 accounts with AWS",True,Usable Evaluation,8,12,,0.8571,,,0.6000,,Parsimonious Only,Parsimonious Only
HwHVFWdczVw,MailUp Group: Marketing Campaign Planning and Management Italian,True,Usable Evaluation,9,9,,0.8421,,,0.8421,,Parsimonious Only,Parsimonious Only
66fPHLmvikk,ContentWise: How we Use Amazon SageMaker in Production Italian,True,Usable Evaluation,7,8,,0.8333,,,0.5000,,Parsimonious Only,Parsimonious Only
pk5yddJpC_8,Benevity: Centralized Logging for Multiple Compute Classes Using OpenSearch,True,Usable Evaluation,9,10,,0.8333,,,0.7368,,Parsimonious Only,Parsimonious Only
rPGLNw1cOGM,3M: Parallel Serverless Workflows for Materials Science,True,Usable Evaluation,8,20,,0.8333,,,0.5517,,Parsimonious Only,Parsimonious Only
CE03UMddoYU,WEGoT aqua: Scaling IoT Platform for Water Management & Sustainability,True,Usable Evaluation,10,12,,0.8235,,,0.7500,,Parsimonious Only,Parsimonious Only
9LhiUsg3knw,Musixmatch: How Content is Generated by Users Italian,False,Invalid Ground Truth,13,8,,0.8182,,,0.4000,,Parsimonious Only,Parsimonious Only
6sew_hdI6cY,Triboo: Hosting Magento on Containers Italian,True,Usable Evaluation,15,18,,0.8148,,,0.6000,,Parsimonious Only,Parsimonious Only
DnTQ3matqts,ecofit: Responsive Lambda-based Microservices at Scale (LIVE),True,Usable Evaluation,14,14,,0.8000,,,0.5161,,Parsimonious Only,Parsimonious Only
JYeXbUdFOdw,Noventiq: Harnessing Search and Analytics with Event-Driven Architecture on Amazon OpenSearch,True,Usable Evaluation,8,14,,0.8000,,,0.3704,,Parsimonious Only,Parsimonious Only
6iK4WNj6QqI,Ticketmaster: Active-Active Multi-Region Checkout for Ticket Purchases,True,Usable Evaluation,6,10,,0.7692,,,0.3529,,Parsimonious Only,Parsimonious Only
DrkaU99l9S8,L&T Technology Services: Monitor & Analyze the Health of Industrial Equipment Using LTTS UBIQWeise,True,Usable Evaluation,12,13,,0.7619,,,0.5385,,Parsimonious Only,Parsimonious Only
FmhL2334GIY,New Relic: Automated Monitoring on AWS with New Relic Synthetics,True,Usable Evaluation,10,11,,0.7273,,,0.3810,,Parsimonious Only,Parsimonious Only
8ZRWzn0G39g,Replicon: MultiTenant SaaS Solution with Bring Your Own Key BYOK Encryption for Enterprises,True,Usable Evaluation,12,38,,0.7059,,,0.2979,,Parsimonious Only,Parsimonious Only
Dxq_U1TNx1s,TCS: GeoSpatial Data Analysis Using TCS Digital Platform for NextGen Agriculture DNA,True,Usable Evaluation,11,17,,0.6316,,,0.4286,,Parsimonious Only,Parsimonious Only
