video_id,title,is_valid_evaluation,classification_status,gt_nodes,gt_edges,std_nodes,std_edges,std_svc_precision,std_svc_recall,std_svc_f1,std_edge_precision,std_edge_recall,std_edge_f1,std_edge_type_accuracy,pars_nodes,pars_edges,pars_svc_precision,pars_svc_recall,pars_svc_f1,pars_edge_precision,pars_edge_recall,pars_edge_f1,pars_edge_type_accuracy
1xLjtJnfZes,MATTR: Building Digital Trust at Scale,True,Usable Evaluation,8,6,7,5,0.8571,0.7500,0.8000,0.6000,0.5000,0.5455,1.0000,8,6,0.8571,0.7500,0.8000,0.6667,0.6667,0.6667,0.7500
5EmA67lSJEs,Extreme Reach: The AdBridge Platform on AWS Handles 80%+ of all Commercials in the US,True,Usable Evaluation,11,20,10,12,0.8571,0.7500,0.8000,0.5833,0.3500,0.4375,0.8571,10,12,0.8571,0.7500,0.8000,0.5833,0.3500,0.4375,0.8571
5f3z1Z_9BJA,Capgemini: Refactoring a Data Warehouse to Amazon Redshift,True,Usable Evaluation,11,17,12,15,0.7500,0.8571,0.8000,0.4000,0.3529,0.3750,0.8333,11,11,0.8571,0.8571,0.8571,0.9091,0.5882,0.7143,0.8000
PgeQufaQy7I,"MindTickle: Building a Secure, Automated, Multi-Region Architecture on AWS",True,Usable Evaluation,8,8,7,6,0.8571,0.7500,0.8000,0.8333,0.6250,0.7143,1.0000,,,,,,,,,
Yju3yReAQtc,Fortinet Uses AWS Serverless to Provide a Highly Available ControlPlane for their FortiWeb CloudWAF,True,Usable Evaluation,7,7,13,13,0.7500,0.8571,0.8000,0.3077,0.5714,0.4000,0.7500,,,,,,,,,
7wBOFcP1HwA,Seera Group: Transforming Online Travel Booking with Microservices (Arabic),True,Usable Evaluation,10,10,11,17,0.7778,0.7778,0.7778,0.3529,0.6000,0.4444,0.6667,11,8,0.7000,0.7778,0.7368,0.5000,0.4000,0.4444,1.0000
GJ1So_pbZWk,Taysols: Next Best Offer Recommendation System using Amazon SageMaker,True,Usable Evaluation,9,23,13,15,0.7000,0.8750,0.7778,0.6667,0.4348,0.5263,0.8000,10,10,0.7778,0.8750,0.8235,0.8000,0.3478,0.4848,1.0000
LxeSC3-xMlk,St. Louis University: Using Amazon Lex to Answer Students' Questions Through Alexa and a Mobile App,True,Usable Evaluation,8,15,10,22,0.7000,0.8750,0.7778,0.4091,0.6000,0.4865,1.0000,,,,,,,,,
5vR5aN_xdI0,Splunk: Data at Scale by Decoupling Compute and Storage LIVE,True,Usable Evaluation,9,10,9,10,0.8333,0.7143,0.7692,0.5000,0.5000,0.5000,1.0000,9,8,1.0000,0.8571,0.9231,0.6250,0.5000,0.5556,1.0000
Jkx6kVbDpL4,Nielsen: Processing 55TB of Data Per Day with AWS Lambda,True,Usable Evaluation,13,17,12,13,0.8333,0.7143,0.7692,0.6923,0.5294,0.6000,0.7778,,,,,,,,,
OWLGK-eVrTw,Heimdall Data: Query Caching Without Code Changes,True,Usable Evaluation,6,16,8,10,0.7143,0.8333,0.7692,0.1000,0.0625,0.0769,0.0000,,,,,,,,,
6LcSv9XocTY,Intuit: Serving 7 Million Customers Using Amazon Connect,True,Usable Evaluation,11,18,13,16,0.6667,0.8889,0.7619,0.5625,0.5000,0.5294,0.7778,10,9,0.8750,0.7778,0.8235,0.6667,0.3333,0.4444,1.0000
QOtCpD23118,LeasePlan: Leverages Serverless to Increase Driver Safety Reduce Fleet Costs and Lower Risk,True,Usable Evaluation,11,10,11,11,0.7500,0.7500,0.7500,0.7273,0.8000,0.7619,1.0000,11,11,0.7500,0.7500,0.7500,0.7273,0.8000,0.7619,1.0000
gpWR5JBC64A,FoodHub: Enabling Massive Scale Order Processing with Serverless Architecture,True,Usable Evaluation,8,6,8,12,0.7500,0.7500,0.7500,0.4167,0.8333,0.5556,1.0000,,,,,,,,,
KzJKdUZ3Ba4,PwC: Streamlining Asset Tracking with Amazon Managed Blockchain,True,Usable Evaluation,4,6,5,10,0.6000,1.0000,0.7500,0.3000,0.5000,0.3750,0.6667,,,,,,,,,
BPvr0qWpJlA,ContactSuite: Automated Omni-Channel Service Desk Workflow,True,Usable Evaluation,10,9,11,11,0.7000,0.7778,0.7368,0.2727,0.3333,0.3000,1.0000,11,9,0.6000,0.6667,0.6316,0.3333,0.3333,0.3333,1.0000
INog0_9tCtY,Threat Stack: Proactive Risk Identification and Real-time Threat Detection across AWS,True,Usable Evaluation,14,19,18,19,0.6667,0.8000,0.7273,0.5263,0.5263,0.5263,0.7000,12,11,1.0000,0.8000,0.8889,0.7273,0.4211,0.5333,0.8750
2XVgpMwY5iE,Keen Eye: Building Deep Learning Models for Digital Pathology Image Analysis,True,Usable Evaluation,7,12,8,14,0.7143,0.7143,0.7143,0.3571,0.4167,0.3846,0.8000,8,9,0.7143,0.7143,0.7143,0.5556,0.4167,0.4762,0.8000
3WgTBTDlQN8,FanFight: Building a Realtime Fantasy League Gaming Platform on AWS,True,Usable Evaluation,9,14,11,14,0.7500,0.6667,0.7059,0.4286,0.4286,0.4286,0.8333,9,10,0.7500,0.6667,0.7059,0.5000,0.3571,0.4167,0.8000
M_hqigB9C4I,Innovaccer: Deriving Insights from Healthcare Data to Empower Care Teams,True,Usable Evaluation,9,16,9,9,0.6667,0.7500,0.7059,0.5556,0.3125,0.4000,0.8000,,,,,,,,,
D6rG9eZ5Qus,Graham Media Group: Modernizing Traditional Broadcasting with AWS,True,Usable Evaluation,9,9,11,10,0.6364,0.7778,0.7000,0.5000,0.5556,0.5263,1.0000,9,8,0.7778,0.7778,0.7778,0.6250,0.5556,0.5882,1.0000
G07keU4g-LU,Jubilant FoodWorks: Driving a Quality Customer Experience Using Data Lake,True,Usable Evaluation,10,21,20,27,0.6364,0.7778,0.7000,0.3704,0.4762,0.4167,0.6000,10,11,0.7778,0.7778,0.7778,0.5455,0.2857,0.3750,0.8333
62E9ggjGS8I,DISH Network: Building a Self-Service Portal to Create Multiple Accounts at Scale,False,Invalid Ground Truth,7,9,9,12,0.5556,0.8333,0.6667,0.1667,0.2222,0.1905,1.0000,7,4,1.0000,1.0000,1.0000,1.0000,0.4444,0.6154,0.7500
MbkLJ62jtMc,Mueller Water Products: Scalable Ingestion of Sensor Data for Municipal Water Conservation LIVE,True,Usable Evaluation,6,4,17,18,0.5556,0.8333,0.6667,0.1667,0.7500,0.2727,1.0000,,,,,,,,,
K5ww_O4vsxo,Samsung Cloud: Global Hybrid Network Optimization Across 5 AWS Regions Using AWS Transit Gateway,False,Invalid Ground Truth,15,52,15,20,0.6000,0.7500,0.6667,0.8500,0.3269,0.4722,1.0000,,,,,,,,,
KywvGM6HVXI,Capillary Technologies: Building an OmniChannel Data Ingestion Platform,True,Usable Evaluation,11,22,13,12,0.6000,0.6667,0.6316,0.5000,0.2727,0.3529,0.8333,,,,,,,,,
DAJZAygxDZA,BASF Digital Farming: Productionizing ML with a Cross-Account Model Deployment Solution,True,Usable Evaluation,8,15,9,13,0.5714,0.6667,0.6154,0.1538,0.1333,0.1429,1.0000,9,9,0.8000,0.6667,0.7273,0.2222,0.1333,0.1667,1.0000
99nNHsbwBpg,SkyScanner: Building HighlyAvailable MultiRegion Kubernetes Clusters on 100 Amazon EC2 Spot,False,Invalid Ground Truth,2,0,7,9,0.4000,1.0000,0.5714,0.0000,0.0000,0.0000,0.0000,5,4,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000
4-teOQ_dJvY,SBB Cargo: Data Collection and Processing with Serverless Analytics Services,True,Usable Evaluation,9,13,9,12,0.5714,0.5714,0.5714,0.4167,0.3846,0.4000,0.6000,10,12,0.7143,0.7143,0.7143,0.6667,0.6154,0.6400,0.8750
LYP98nPBj2A,Singtel: Next-Generation Mobile Financial Services Platform on AWS and Amazon Aurora PostgreSQL,True,Usable Evaluation,5,8,16,36,0.3636,1.0000,0.5333,0.1111,0.5000,0.1818,1.0000,,,,,,,,,
3yJZ6rPoZfg,Hexagon HxDR: Cloud-Based Visualization of Spatial Data,True,Usable Evaluation,7,9,8,9,0.5000,0.5000,0.5000,0.3333,0.3333,0.3333,1.0000,8,8,0.5000,0.5000,0.5000,0.2500,0.2222,0.2353,1.0000
BgT_bDAejSQ,GoDaddy: Empowering Agility with ZeroTrust Environment Best Practices,False,Invalid Ground Truth,2,1,12,9,0.1111,1.0000,0.2000,0.0000,0.0000,0.0000,0.0000,9,6,0.1667,1.0000,0.2857,0.0000,0.0000,0.0000,0.0000
9Cg81Xgg7LQ,Pushpay Holdings Ltd : Strangling a Monolithic Application While Moving to Microservices on AWS,True,Usable Evaluation,7,7,,,,,,,,,,7,7,1.0000,1.0000,1.0000,0.7143,0.7143,0.7143,1.0000
G5tNCpmD2uQ,Voodoo: Perform Recommendations Using Machine Learning (French),True,Usable Evaluation,9,12,,,,,,,,,,10,7,1.0000,1.0000,1.0000,0.7143,0.4167,0.5263,0.6000
H2fOkeXxpyw,Atlassian: Secure Code Invocation at Scale with Atlassian Forge on AWS,True,Usable Evaluation,8,10,,,,,,,,,,8,7,1.0000,1.0000,1.0000,1.0000,0.7000,0.8235,1.0000
fppIOuRMI2g,Instructure: Elevating Digital Education to the Next-Level Event Driven CI/CD Deployments Globally,True,Usable Evaluation,7,7,,,,,,,,,,7,6,1.0000,1.0000,1.0000,1.0000,0.8571,0.9231,1.0000
iKYvG5aiIn8,TrueBlue: Scaling Job Matching with a Serverless Delta Lake,True,Usable Evaluation,9,7,,,,,,,,,,9,8,1.0000,1.0000,1.0000,0.7500,0.8571,0.8000,1.0000
jBffL9zUCSE,"The New York Times: Giving Developers the Freedom to Deploy, While Governing Cloud Services at Scale",True,Usable Evaluation,7,11,,,,,,,,,,7,5,1.0000,1.0000,1.0000,1.0000,0.4545,0.6250,1.0000
lkDq9g43djw,FINBOURNE: How Finbourne Assures Resiliency Through Chaos Engineering Events Every 17 min,True,Usable Evaluation,5,4,,,,,,,,,,7,4,1.0000,1.0000,1.0000,0.5000,0.5000,0.5000,1.0000
Eoq7E6jMtBs,Orangetheory Fitness: Using Chime SDK to Power Coach-led Virtual Workouts with OTlive,True,Usable Evaluation,10,20,,,,,,,,,,10,11,0.9000,1.0000,0.9474,0.6364,0.3500,0.4516,0.7143
bikXzsVihF4,United Airlines: How to Use AWS Backup to Protect Data from Ransomware Events,True,Usable Evaluation,7,10,,,,,,,,,,8,7,0.8750,1.0000,0.9333,0.5714,0.4000,0.4706,0.7500
unFVfqj9cQ8,Contino: Measuring and Communicating The Business Impact of Landing Zones with Flight Controller,True,Usable Evaluation,8,7,,,,,,,,,,7,6,1.0000,0.8750,0.9333,1.0000,0.8571,0.9231,0.8333
qi017F1UwvM,Salesflo: Transforming FieldForce Operations Using EventDriven Architecture,True,Usable Evaluation,17,24,,,,,,,,,,17,18,0.9286,0.9286,0.9286,0.7778,0.5833,0.6667,0.8571
CsD5bmM6mpY,Linke - a Syntax Company: Building a Business Continuity Framework for SAP (Spanish),True,Usable Evaluation,6,7,,,,,,,,,,8,7,0.8571,1.0000,0.9231,0.4286,0.4286,0.4286,1.0000
ErXwuwF2mRU,Tapestry: Machine Learning and Analytics for the Fashion Industry on AWS,True,Usable Evaluation,9,10,,,,,,,,,,11,10,0.8182,1.0000,0.9000,0.5000,0.5000,0.5000,1.0000
JG5p-i8Cr2E,ZS Associates: Building a SelfService Enterprise Data Engineering Platform,True,Usable Evaluation,11,24,,,,,,,,,,11,13,0.9000,0.9000,0.9000,0.7692,0.4167,0.5405,1.0000
E8wYXtvGy5k,Freightways: Delivering 50M packages with Serverless Tracking Solution,True,Usable Evaluation,10,12,,,,,,,,,,10,9,0.8571,0.8571,0.8571,0.8889,0.6667,0.7619,1.0000
Fd2c7NDYfpo,"Publicis Sapient: A Secure, Scalable & Self-provisioning Process to Create 20,000 accounts with AWS",True,Usable Evaluation,8,12,,,,,,,,,,8,8,0.8571,0.8571,0.8571,0.7500,0.5000,0.6000,1.0000
HwHVFWdczVw,MailUp Group: Marketing Campaign Planning and Management Italian,True,Usable Evaluation,9,9,,,,,,,,,,10,10,0.8000,0.8889,0.8421,0.8000,0.8889,0.8421,1.0000
66fPHLmvikk,ContentWise: How we Use Amazon SageMaker in Production Italian,True,Usable Evaluation,7,8,,,,,,,,,,8,8,0.8333,0.8333,0.8333,0.5000,0.5000,0.5000,1.0000
pk5yddJpC_8,Benevity: Centralized Logging for Multiple Compute Classes Using OpenSearch,True,Usable Evaluation,9,10,,,,,,,,,,9,9,0.8333,0.8333,0.8333,0.7778,0.7000,0.7368,1.0000
rPGLNw1cOGM,3M: Parallel Serverless Workflows for Materials Science,True,Usable Evaluation,8,20,,,,,,,,,,8,9,0.8333,0.8333,0.8333,0.8889,0.4000,0.5517,1.0000
CE03UMddoYU,WEGoT aqua: Scaling IoT Platform for Water Management & Sustainability,True,Usable Evaluation,10,12,,,,,,,,,,11,12,0.7778,0.8750,0.8235,0.7500,0.7500,0.7500,1.0000
9LhiUsg3knw,Musixmatch: How Content is Generated by Users Italian,False,Invalid Ground Truth,13,8,,,,,,,,,,12,17,0.8182,0.8182,0.8182,0.2941,0.6250,0.4000,1.0000
6sew_hdI6cY,Triboo: Hosting Magento on Containers Italian,True,Usable Evaluation,15,18,,,,,,,,,,16,12,0.7857,0.8462,0.8148,0.7500,0.5000,0.6000,0.8889
DnTQ3matqts,ecofit: Responsive Lambda-based Microservices at Scale (LIVE),True,Usable Evaluation,14,14,,,,,,,,,,15,17,0.7273,0.8889,0.8000,0.4706,0.5714,0.5161,0.7500
JYeXbUdFOdw,Noventiq: Harnessing Search and Analytics with Event-Driven Architecture on Amazon OpenSearch,True,Usable Evaluation,8,14,,,,,,,,,,13,13,0.7500,0.8571,0.8000,0.3846,0.3571,0.3704,1.0000
6iK4WNj6QqI,Ticketmaster: Active-Active Multi-Region Checkout for Ticket Purchases,True,Usable Evaluation,6,10,,,,,,,,,,7,7,0.7143,0.8333,0.7692,0.4286,0.3000,0.3529,1.0000
DrkaU99l9S8,L&T Technology Services: Monitor & Analyze the Health of Industrial Equipment Using LTTS UBIQWeise,True,Usable Evaluation,12,13,,,,,,,,,,11,13,0.7273,0.8000,0.7619,0.5385,0.5385,0.5385,1.0000
FmhL2334GIY,New Relic: Automated Monitoring on AWS with New Relic Synthetics,True,Usable Evaluation,10,11,,,,,,,,,,10,10,0.8000,0.6667,0.7273,0.4000,0.3636,0.3810,1.0000
8ZRWzn0G39g,Replicon: MultiTenant SaaS Solution with Bring Your Own Key BYOK Encryption for Enterprises,True,Usable Evaluation,12,38,,,,,,,,,,10,9,0.7500,0.6667,0.7059,0.7778,0.1842,0.2979,0.7143
Dxq_U1TNx1s,TCS: GeoSpatial Data Analysis Using TCS Digital Platform for NextGen Agriculture DNA,True,Usable Evaluation,11,17,,,,,,,,,,11,11,0.6000,0.6667,0.6316,0.5455,0.3529,0.4286,1.0000
