video_id,title,category,gen_nodes,gt_nodes,svc_precision,svc_recall,svc_f1,gen_edges,gt_edges,edge_precision,edge_recall,edge_f1,is_zero_edge_gt
9-6hQdFeolc,Lyniate: Scaling Healthcare Data Exchange At Scale with Tenant Isolation,"interactive,control",8,8,83.33,71.43,76.92,6,8,33.33,25.0,28.57,False
9-a9Y5THTYo,Vitesco Technologies Cloud Foundation: A Scalable and Automated Cloud Landing Zone,control,8,7,66.67,66.67,66.67,8,6,50.0,66.67,57.14,False
90rWUjKjnAE,amazee.io: Kubernetes Deployments Made Easy,control,9,8,85.71,85.71,85.71,8,10,75.0,60.0,66.67,False
99nNHsbwBpg,SkyScanner: Building HighlyAvailable MultiRegion Kubernetes Clusters on 100 Amazon EC2 Spot,interactive,3,2,50.0,50.0,50.0,2,0,0.0,0.0,0.0,True
9Cg81Xgg7LQ,Pushpay Holdings Ltd : Strangling a Monolithic Application While Moving to Microservices on AWS,other,7,7,100.0,100.0,100.0,5,7,100.0,71.43,83.33,False
9LhiUsg3knw,Musixmatch: How Content is Generated by Users Italian,"data_ingestion,compute_intensive",10,13,88.89,72.73,80.0,9,8,22.22,25.0,23.53,False
9qTEHITVeLE,Majid Al Futtaim: Building a Custom Data Management Solution on AWS,"data_ingestion,interactive",10,9,75.0,85.71,80.0,12,14,66.67,57.14,61.54,False
9yziTe6lBwk,Ânima Educação: Digitizing Student Experience for Colleges in Brazil,interactive,10,10,90.0,90.0,90.0,9,16,88.89,50.0,64.0,False
_EPfIJnBCoM,PayGo: Leveraging Smart Meters to Help Customers Conserve Energy!,interactive,9,6,100.0,100.0,100.0,8,5,50.0,80.0,61.54,False
_vjB_vF4Uec,Nasuni: Building a Global File Lock Service on AWS,interactive,10,6,83.33,83.33,83.33,7,9,14.29,11.11,12.5,False
a1sEfGVDpEQ,Swiss Post Ltd: Security and Compliance of AWS Accounts at Scale German,data_ingestion,9,10,100.0,85.71,92.31,7,13,100.0,53.85,70.0,False
A4Lfk1Zz1dE,Spot.io: Optimizing Cloud Infrastructure Through Secure Cost Aware Automation,control,8,8,100.0,100.0,100.0,7,5,28.57,40.0,33.33,False
acm-HWJhEOA,Careem: Identity Based Fraud Detection Using Neptune and Neptune ML,data_ingestion,12,8,66.67,75.0,70.59,11,14,54.55,42.86,48.0,False
aQFztbu0BG0,Discover Financial Services: Enabling a PCI Compliant Data Science Platform,data_ingestion,8,8,83.33,83.33,83.33,8,8,75.0,75.0,75.0,False
AS2JeM2FUzE,Intellect Design Arena: Insurance Risk Assessment with Intellect FABRIC Data Services,"data_ingestion,interactive",10,9,80.0,88.89,84.21,11,12,72.73,66.67,69.57,False
asZIXK7V-U4,Ounass: Building a Scalable Recommender Architecture Powered by the Word2vec Algorithm,data_ingestion,10,10,100.0,100.0,100.0,13,16,84.62,68.75,75.86,False
aY-wF9g0qkM,globaldatanet: Using AI to Build a Multi-Tenant SaaS Construction Site Monitoring Solution,interactive,9,10,83.33,71.43,76.92,9,14,55.56,35.71,43.48,False
az-C2c33trQ,Adikteev: ROI Analysis of Advertising Campaigns From Data Ingestion to Prediction Dashboards,data_ingestion,8,8,100.0,100.0,100.0,9,17,100.0,52.94,69.23,False
AzM_d7ZvzUE,Epsagon: Automatically Tracing and Analyzing Billions of AWS Serverless Events,data_ingestion,11,11,87.5,87.5,87.5,11,20,54.55,30.0,38.71,False
b93-zn-DtBw,JD Power: Building a Rankings  Insights Engine with Data Lakes  Machine Learning on AWS,data_ingestion,10,9,88.89,88.89,88.89,10,4,20.0,50.0,28.57,False
BgT_bDAejSQ,GoDaddy: Empowering Agility with ZeroTrust Environment Best Practices,control,9,2,16.67,100.0,28.57,0,1,0.0,0.0,0.0,False
bikXzsVihF4,United Airlines: How to Use AWS Backup to Protect Data from Ransomware Events,other,8,7,87.5,100.0,93.33,7,10,57.14,40.0,47.06,False
BlCXEMp_lqY,Vizio: Smart TV Analytics at Scale,data_ingestion,6,6,83.33,83.33,83.33,5,9,60.0,33.33,42.86,False
BPvr0qWpJlA,ContactSuite: Automated Omni-Channel Service Desk Workflow,interactive,12,10,63.64,77.78,70.0,11,9,27.27,33.33,30.0,False
bQqJpjv-FXs,ēdn: Reinventing Indoor Gardening with Interactive Workflows Using AWS IoT Core and Amazon Pinpoint,data_ingestion,7,6,71.43,83.33,76.92,8,5,50.0,80.0,61.54,False
bqZWYmRAka0,DBS Bank: Architecting Quant Pricing Engine for Performance with Amazon ElastiCache,compute_intensive,10,5,80.0,80.0,80.0,12,5,33.33,80.0,47.06,False
BX1K8x1lVLc,"Love, Bonito: Achieving Scalability Using Magento with Kubernetes",interactive,8,8,87.5,87.5,87.5,8,14,87.5,50.0,63.64,False
bxvZBfbyhiA,OnScale: Deploying HPCs for CAE Workloads on AWS,compute_intensive,8,9,100.0,87.5,93.33,7,12,100.0,58.33,73.68,False
BZ32w0SSAoY,PixelStrings by Cinnafilm: A Flexible & Scalable Platform for Video Audio Optimization & Conversion,compute_intensive,7,7,80.0,80.0,80.0,8,19,87.5,36.84,51.85,False
c-1GXhOOOww,Anchor Operating System: Building a Serverless Guest Sightseeing Journey Seamlessly,interactive,8,9,75.0,66.67,70.59,10,16,50.0,31.25,38.46,False
c6yBZBMwtLk,RSI: Affordably Modernizing Audio and Video Content Management Italian,"data_ingestion,compute_intensive",11,11,88.89,88.89,88.89,13,13,69.23,69.23,69.23,False
c8615P0yfi8,Ounass: Building a Scalable Recommender Architecture Powered by the Word2vec Algorithm (Arabic),data_ingestion,10,10,100.0,100.0,100.0,11,0,0.0,0.0,0.0,True
c863uNkF0w4,ENGIE Digital: Using Spot Instances to Optimize Costs for Operations Platform for Energy Assets Fr,data_ingestion,8,10,87.5,77.78,82.35,5,8,60.0,37.5,46.15,False
ccPhkyPm_3w,Imperva: Building Real-Time Streaming Data Pipelines Using Amazon MSK,data_ingestion,9,6,83.33,83.33,83.33,6,6,33.33,33.33,33.33,False
Ccutfm_Srzw,Zulily: A Compelling Suggestive Search Experience Using Amazon DocumentDB with MongoDB Compatibility,interactive,8,11,100.0,85.71,92.31,8,14,62.5,35.71,45.45,False
CDCLwX2fo2g,Ztore: Building a Recommendation System on AWS (Cantonese),"compute_intensive,interactive",8,8,100.0,85.71,92.31,10,14,90.0,64.29,75.0,False
CE03UMddoYU,WEGoT aqua: Scaling IoT Platform for Water Management & Sustainability,data_ingestion,11,10,77.78,87.5,82.35,12,12,75.0,75.0,75.0,False
Cgv0kfp_6xQ,Snap: Journey of a Snap on Snapchat Using AWS,interactive,11,10,100.0,100.0,100.0,10,14,100.0,71.43,83.33,False
cmYI6axlicc,Pirelli: Building a Data Platform at Scale,data_ingestion,9,10,62.5,71.43,66.67,9,14,33.33,21.43,26.09,False
cnZeOytEkIM,Property Finder: Running Production Workloads with Amazon EKS on 100% Amazon EC2 Spot Instances,interactive,8,6,100.0,100.0,100.0,7,6,57.14,66.67,61.54,False
cRxvZBIa-gI,"Equifax: Achieving Cost Savings and Reliability with EKS, Graviton2, and Aurora Global",interactive,7,5,33.33,40.0,36.36,4,4,0.0,0.0,0.0,False
CsD5bmM6mpY,Linke - a Syntax Company: Building a Business Continuity Framework for SAP (Spanish),control,8,6,85.71,100.0,92.31,7,7,42.86,42.86,42.86,False
CTG23wd9H74,3M: Building an HPC Modeling Platform to Simplify AWS Usage for Scientists and Engineers,interactive,7,8,100.0,87.5,93.33,8,11,87.5,63.64,73.68,False
Cw26CrJUqv8,Salesforce: Automating SaaS Application Connectivity,other,10,10,88.89,88.89,88.89,10,9,80.0,88.89,84.21,False
cZuoiXQ0xUk,Leaven: Machine Learning at Massive Scale to Protect Human Life,compute_intensive,8,8,85.71,85.71,85.71,8,13,62.5,38.46,47.62,False
d0EE1HuZSEU,William Hill: Highperformance DDOS Protection with AWS,control,13,13,92.31,92.31,92.31,15,21,80.0,57.14,66.67,False
D6rG9eZ5Qus,Graham Media Group: Modernizing Traditional Broadcasting with AWS,interactive,9,9,77.78,77.78,77.78,8,9,62.5,55.56,58.82,False
D77FSUkPJ3o,"Avio Aero, a GE Aviation Business: Serverless Application to Manage Expense Purchase Approvals",interactive,8,8,85.71,85.71,85.71,10,12,60.0,50.0,54.55,False
D9qTotVJYss,HBO Max: Using Canaries for Outside-in Validation,data_ingestion,7,6,71.43,83.33,76.92,6,10,66.67,40.0,50.0,False
DAJZAygxDZA,BASF Digital Farming: Productionizing ML with a Cross-Account Model Deployment Solution,control,9,8,80.0,66.67,72.73,9,15,22.22,13.33,16.67,False
DkPPwq517aE,Enimbos:Creating a Saving Costs Management Platform using Serverless Compute Engine on AWS Span ,"interactive,control",10,10,100.0,100.0,100.0,9,14,100.0,64.29,78.26,False
DnTQ3matqts,ecofit: Responsive Lambda-based Microservices at Scale (LIVE),"data_ingestion,interactive",14,14,80.0,88.89,84.21,10,14,60.0,42.86,50.0,False
Dp3YAxFp-YM,Alef Education: Building an Adaptive Learning System for K12 Students using AWS,"data_ingestion,compute_intensive",10,10,88.89,100.0,94.12,9,14,88.89,57.14,69.57,False
DrkaU99l9S8,L&T Technology Services: Monitor & Analyze the Health of Industrial Equipment Using LTTS UBIQWeise,data_ingestion,11,12,72.73,80.0,76.19,13,13,53.85,53.85,53.85,False
Dxq_U1TNx1s,TCS: GeoSpatial Data Analysis Using TCS Digital Platform for NextGen Agriculture DNA,"data_ingestion,compute_intensive",11,11,60.0,66.67,63.16,11,17,54.55,35.29,42.86,False
E68ufJOduio,"Cohesity: Helios! Learn How to Back-up, Scale, Secure and Simplify Your Workloads on AWS",other,9,9,100.0,100.0,100.0,8,0,0.0,0.0,0.0,True
E8BGpIxzYc4,TownSq: Providing Performance Insights to Community Managers,data_ingestion,10,10,77.78,77.78,77.78,11,11,54.55,54.55,54.55,False
E8wYXtvGy5k,Freightways: Delivering 50M packages with Serverless Tracking Solution,interactive,10,10,85.71,85.71,85.71,9,12,88.89,66.67,76.19,False
ec6j-MaOSUc,Treasury Intelligence Solutions: Managing Data Growth & Scalability with a Secure Data Lake,data_ingestion,10,11,100.0,90.91,95.24,9,20,88.89,40.0,55.17,False
eEfWd4EgH_s,Homegate AG: A Serverless Real Estate Platform,data_ingestion,10,10,85.71,85.71,85.71,9,10,88.89,80.0,84.21,False
EiljRL0977M,Neumora Therapeutics: Advanced MRI Precision Medicine and Brain Data Analysis Visualization at Scale,compute_intensive,7,7,85.71,85.71,85.71,6,13,66.67,30.77,42.11,False
ekXdohpAy5U,Accenture: Natural Language Processing and Graph Databases for the Oil and Gas Industry,data_ingestion,6,6,83.33,83.33,83.33,5,9,80.0,44.44,57.14,False
Eoq7E6jMtBs,Orangetheory Fitness: Using Chime SDK to Power Coach-led Virtual Workouts with OTlive,interactive,10,10,90.0,100.0,94.74,11,20,63.64,35.0,45.16,False
ErXwuwF2mRU,Tapestry: Machine Learning and Analytics for the Fashion Industry on AWS,data_ingestion,11,9,81.82,100.0,90.0,10,10,50.0,50.0,50.0,False
F4KDOGNpSoI,Pernod Ricard: Shortening URLs on a Global Scale with Low Latency French,"data_ingestion,interactive",14,14,100.0,100.0,100.0,16,19,93.75,78.95,85.71,False
f5EJBUfGZtw,Expedia: Salesforce Integration with AWS,data_ingestion,10,10,88.89,88.89,88.89,10,8,70.0,87.5,77.78,False
Fd2c7NDYfpo,"Publicis Sapient: A Secure, Scalable & Self-provisioning Process to Create 20,000 accounts with AWS",control,8,8,85.71,85.71,85.71,8,12,75.0,50.0,60.0,False
Felt-hOU6kU,Xero: Building a Scalable Self-Service Portal for Thousands of Developers Provisioning Resources,control,9,7,75.0,100.0,85.71,8,4,50.0,100.0,66.67,False
FfSNnH2bbNc,Carbon by Indigo: Carbon Credits for Regenerative Agriculture,"data_ingestion,interactive",8,8,87.5,87.5,87.5,9,19,88.89,42.11,57.14,False
FftalZUxyiM,CEPSA: Finding the Best Internal Talent Using Amazon Neptune Spanish,data_ingestion,8,9,100.0,85.71,92.31,7,14,100.0,50.0,66.67,False
FHdtOtznWuA,"SoftChef: Building AWS Iot Application Using an Innovative, Fully Serverless Architecture (Mandarin)",control,9,10,100.0,90.0,94.74,5,18,100.0,27.78,43.48,False
FmhL2334GIY,New Relic: Automated Monitoring on AWS with New Relic Synthetics,other,10,10,80.0,66.67,72.73,10,11,40.0,36.36,38.1,False
fOgb0Es-lVs,Deluxe One: Unifying Modern Content Creation and Delivery at Scale,control,8,7,66.67,80.0,72.73,8,6,62.5,83.33,71.43,False
fppIOuRMI2g,Instructure: Elevating Digital Education to the Next-Level Event Driven CI/CD Deployments Globally,control,7,7,100.0,100.0,100.0,6,7,100.0,85.71,92.31,False
FqCs3BD6qvo,Accellion kiteworks: Cost-Effective CI CD Platform Using Amazon EC2 Spot,control,9,6,80.0,80.0,80.0,7,10,42.86,30.0,35.29,False
fRv8sOUyhZw,Ippon with Euler Hermes: Transforming a Monolithic Application of Data Analytics with Microservices,data_ingestion,10,10,87.5,77.78,82.35,11,13,72.73,61.54,66.67,False
fSV0u48sEVg,Social Quantum: Using Serverless in Gaming,interactive,7,7,100.0,100.0,100.0,12,11,66.67,72.73,69.57,False
ftIdBG-UgFY,AQR: Using ECS to Provide Dev Teams Security & Authentication on a Scalable Container Platform,control,8,8,100.0,100.0,100.0,4,9,75.0,33.33,46.15,False
fTxvwVj02P0,Simpego: Swiss InsurTech Running All Core Business Processes on AWS (German),"data_ingestion,interactive",8,8,85.71,85.71,85.71,7,10,85.71,60.0,70.59,False
G07keU4g-LU,Jubilant FoodWorks: Driving a Quality Customer Experience Using Data Lake,data_ingestion,10,10,77.78,77.78,77.78,11,21,54.55,28.57,37.5,False
G5tNCpmD2uQ,Voodoo: Perform Recommendations Using Machine Learning (French),interactive,10,9,100.0,100.0,100.0,7,12,71.43,41.67,52.63,False
gcgtLDB0cKA,CMD by Mantel Group: Ensuring Safe Vessel Transit at Sea Ports with Data,"data_ingestion,interactive",13,13,90.91,90.91,90.91,12,18,91.67,61.11,73.33,False
Gds8hl8dKuo,Fugue: Staying in Compliance by Automating Drift Detection,control,10,8,77.78,100.0,87.5,7,12,42.86,25.0,31.58,False
GJ1So_pbZWk,Taysols: Next Best Offer Recommendation System using Amazon SageMaker,data_ingestion,10,9,77.78,87.5,82.35,10,23,80.0,34.78,48.48,False
GoziWpmFCS0,iRobot: Serverless Data Cataloging for Data Scientists,data_ingestion,9,4,60.0,100.0,75.0,11,2,18.18,100.0,30.77,False
gpWR5JBC64A,FoodHub: Enabling Massive Scale Order Processing with Serverless Architecture,"data_ingestion,interactive",9,8,66.67,75.0,70.59,7,6,42.86,50.0,46.15,False
gu54VVeDD10,"FPL Technologies: Building On-Demand, Secure, and Scalable Serverless ML Workbenches","data_ingestion,compute_intensive",10,8,70.0,87.5,77.78,11,9,63.64,77.78,70.0,False
GxjMSvwcgvw,Sopra Banking Software: Secured & Industrial Microservices for a Digital Banking Engagement Platform,interactive,8,8,66.67,66.67,66.67,7,13,71.43,38.46,50.0,False
H2fOkeXxpyw,Atlassian: Secure Code Invocation at Scale with Atlassian Forge on AWS,control,8,8,100.0,100.0,100.0,7,10,100.0,70.0,82.35,False
H_S7CxtHgSM,Raiffeisen Bank International: Automated Integration of OnPremises Key Management with AWS KMS,other,12,11,77.78,87.5,82.35,13,12,53.85,58.33,56.0,False
hbz63Ve-eIY,Wix: Serverless Platform for End-to-End Browser Testing using Chromium on AWS Lambda,control,6,6,100.0,100.0,100.0,5,13,100.0,38.46,55.56,False
HcmEFZukA-Y,7-Eleven: Innovation with Serverless for Cash-Based Digital Wallet,interactive,9,9,100.0,100.0,100.0,9,15,88.89,53.33,66.67,False
hf9nMAG9XoU,Taco Bell: Aurora as The Heart of the Menu Middleware and Data Integration Platform for Taco Bell,control,7,8,100.0,85.71,92.31,7,11,85.71,54.55,66.67,False
hFx0EF9KEZU,Buzzvil: Segment Processing and Provision for Ad Recommendation Korean,"data_ingestion,compute_intensive,interactive",15,15,70.0,77.78,73.68,13,23,76.92,43.48,55.56,False
hlVnmCfydIs,Traeger Provisions: Personalizing Customer Support Experiences on AWS,"data_ingestion,interactive",9,11,100.0,90.0,94.74,12,13,91.67,84.62,88.0,False
hMK2NJ-q9nc,WarnerMedia: Cloudbased Linear Playout System,compute_intensive,10,6,57.14,66.67,61.54,11,5,18.18,40.0,25.0,False
hnMQFnTGr3I,Nanit: How Nanit Streams and Analyzes Video from Hundreds of Thousands of Cameras,"data_ingestion,interactive",11,9,100.0,100.0,100.0,11,24,100.0,45.83,62.86,False
hrhBOOrR5v0,PureWeb: Building a Global 3D Streaming Platform For Limitless Experiences,interactive,8,9,100.0,100.0,100.0,9,12,77.78,58.33,66.67,False
HwHVFWdczVw,MailUp Group: Marketing Campaign Planning and Management Italian,interactive,10,9,80.0,88.89,84.21,10,9,80.0,88.89,84.21,False
i10a06IU4WQ,Pinterest: Scalable Access Control with STS Token Vending,control,9,6,66.67,80.0,72.73,9,8,33.33,37.5,35.29,False
i4ueYgjVDCw,"Rappi: Leveraging EKS, DocumentDB, RDS and ElastiCache to Quickly Scale Kubernetes Clusters","interactive,control",13,10,53.85,70.0,60.87,7,8,0.0,0.0,0.0,False
ihB2dRYLOOI,UltraServe: Application Vending Machine with Runtime Event Control (LIVE),"compute_intensive,interactive",11,12,90.0,81.82,85.71,5,7,40.0,28.57,33.33,False
iKYvG5aiIn8,TrueBlue: Scaling Job Matching with a Serverless Delta Lake,data_ingestion,9,9,100.0,100.0,100.0,8,7,75.0,85.71,80.0,False
ilsJgwcAshE,Amagi: Powering High Availability Broadcast Playout on AWS Cloud,data_ingestion,10,9,60.0,50.0,54.55,10,9,50.0,55.56,52.63,False
INog0_9tCtY,Threat Stack: Proactive Risk Identification and Real-time Threat Detection across AWS,data_ingestion,12,14,100.0,80.0,88.89,11,19,72.73,42.11,53.33,False
IP03SkGbP-U,Astana International Exchange: Running a Stock Exchange in the Cloud,interactive,8,8,87.5,87.5,87.5,9,7,55.56,71.43,62.5,False
ItpY_KKR94k,The Orchard: How the 'Kafka Data Highway' Boosts Developer Productivity & Enables Business Processes,data_ingestion,9,8,85.71,85.71,85.71,8,7,75.0,85.71,80.0,False
IV3KuMGVNXI,Deep Instinct: Collecting RT Statistics and Applying RT Decisions with Lambda@Edge,interactive,7,7,100.0,100.0,100.0,5,17,80.0,23.53,36.36,False
iWK0iRUi-b4,Snyk: CICD Pipelines and Security Controls for Application Developers,interactive,8,8,100.0,87.5,93.33,12,12,58.33,58.33,58.33,False
iwZLadQ3XpY,Riot Games: A new data ingest pipeline for league of legends using MSK,data_ingestion,6,7,83.33,71.43,76.92,5,7,60.0,42.86,50.0,False
j-lPgPGBTwQ,Halter:Building the Future of Farming with IoT Enabled Livestock and Pasture Management,data_ingestion,11,11,80.0,80.0,80.0,11,16,54.55,37.5,44.44,False
J4vHfpL66Zk,Lean Grids Services: Adaptable Data Platform Based on a Serverless Architecture Spanish,data_ingestion,9,10,100.0,90.0,94.74,10,17,100.0,58.82,74.07,False
j9OZ-7aCAyA,Homesite: Event-Driven Data Analytics Platform Using Amazon Neptune,data_ingestion,8,9,100.0,88.89,94.12,8,15,87.5,46.67,60.87,False
jBffL9zUCSE,"The New York Times: Giving Developers the Freedom to Deploy, While Governing Cloud Services at Scale",control,7,7,100.0,100.0,100.0,5,11,100.0,45.45,62.5,False
JcHSFIZMYHc,CleverTap: Building a Fully Version Controlled Infrastructure as Code on AWS,control,8,8,100.0,100.0,100.0,8,9,100.0,88.89,94.12,False
JG5p-i8Cr2E,ZS Associates: Building a SelfService Enterprise Data Engineering Platform,control,11,11,90.0,90.0,90.0,13,24,76.92,41.67,54.05,False
jg85DzUZ9Ac,Veritiv: Enable Insights to Forecast Sales Demand on AWS Data Lakes,data_ingestion,10,10,87.5,87.5,87.5,11,11,81.82,81.82,81.82,False
JiWHomdh1oI,Datacoral: Using Serverless to Create Data Pipelines,data_ingestion,7,7,80.0,80.0,80.0,9,11,88.89,72.73,80.0,False
Jkx6kVbDpL4,Nielsen: Processing 55TB of Data Per Day with AWS Lambda,data_ingestion,13,13,85.71,85.71,85.71,16,17,87.5,82.35,84.85,False
JRDGId6N49E,TRI-AD: Large-Scale and High-Performance Distributed Training Platform,compute_intensive,7,6,80.0,80.0,80.0,3,3,33.33,33.33,33.33,False
JSBB-BCvavQ,Talabat: Applying the Right Strategies for a Successful Migration,other,10,5,62.5,100.0,76.92,11,0,0.0,0.0,0.0,True
